;"Biofuels and waste";"Coal";"Crude oil";"Electricity";"Gas";"Geothermal";"Heat";"Oil products"
"1971-01-01 00:00:00";0,0573230013251305;0,423256009817123;0;1,19518494606018;0;;0;12,9915037155151
"1975-01-01 00:00:00";0,159572005271912;0,492727011442184;0;1,36294102668762;0;;0;11,581880569458
"1980-01-01 00:00:00";0,388076990842819;0,581574022769928;0;1,85958695411682;0;;0,588683009147644;11,317831993103
"1985-01-01 00:00:00";0,570363998413086;0,560144007205963;0;2,15735197067261;0,309608995914459;;1,73913300037384;8,89679908752441
"1990-01-01 00:00:00";0,564;0,434;0;2,439;1,122;0,002;1,758;6,855
"1995-01-01 00:00:00";0,59;0,41;0;2,656;1,661;0,005;2,241;6,945
"2000-01-01 00:00:00";0,649;0,306;0;2,791;1,652;0,007;2,254;6,58
"2005-01-01 00:00:00";0,935;0,266;0;2,877;1,695;0,009;2,423;6,726
"2010-01-01 00:00:00";1,279;0,15;0;2,756;1,734;0,012;2,84;6,197
"2015-01-01 00:00:00";1,475;0,133;0;2,655;1,437;0,014;2,459;5,203
