;"Biofuels and waste";"Coal";"Crude oil";"Electricity";"Gas";"Geothermal";"Heat";"Oil products"
"1971-01-01 00:00:00";8,63619041442871;15,9504699707031;0;10,8548583984375;6,97409677505493;;0,228576004505157;82,9652557373047
"1975-01-01 00:00:00";8,46474742889404;10,7551250457764;0;13,5616512298584;11,7377471923828;;0,196808993816376;84,5689697265625
"1980-01-01 00:00:00";7,83309412002563;8,60758590698242;0;17,9803104400635;19,2729358673096;;0,238082006573677;87,3573608398438
"1985-01-01 00:00:00";9,81916904449463;9,18400382995605;0;21,4438514709473;23,2599105834961;;0,321224004030228;72,866813659668
"1990-01-01 00:00:00";9,663;6,271;0;25,987;23,926;0,135;0,478;75,198
"1995-01-01 00:00:00";9,743;4,397;0;29,48;27,982;0,157;0,55;78,881
"2000-01-01 00:00:00";8,978;3,375;0;33,096;32,147;0,147;3,236;81,185
"2005-01-01 00:00:00";9,204;3,025;0;36,352;34,556;0,046;4,163;80,263
"2010-01-01 00:00:00";11,607;2,696;0;38,185;32,998;0,086;3,095;71,326
"2015-01-01 00:00:00";11,614;2,279;0;37,375;28,85;0,129;3,004;67,233
