;"Biofuels and waste";"Coal";"Crude oil";"Electricity";"Gas";"Geothermal";"Heat";"Oil products"
"1971-01-01 00:00:00";1,85463798046112;60,2193260192871;0;23,2847805023193;11,4863710403442;;4,44434881210327;116,938972473145
"1975-01-01 00:00:00";1,68207204341888;48,6494407653809;0;27,6446266174316;22,253137588501;;5,83529186248779;120,350479125977
"1980-01-01 00:00:00";1,9059419631958;49,2032318115234;0;33,6949272155762;33,4920234680176;;7,69310712814331;122,681114196777
"1985-01-01 00:00:00";2,53002309799194;51,8043327331543;0;37,1913146972656;36,8530731201172;;9,49703788757324;110,454582214355
"1990-01-01 00:00:00";2,973;39,247;0;39,13;39,063;0,011;9,15;111,213
"1995-01-01 00:00:00";2,69;13,594;0;38,797;49,999;0,038;8,747;119,451
"2000-01-01 00:00:00";4,717;8,962;0;41,569;55,131;0,111;6,831;114,083
"2005-01-01 00:00:00";8,816;6,816;0;44,907;55,086;0,3;10,751;104,009
"2010-01-01 00:00:00";13,089;7,178;0;45,78;56,385;0,536;11,268;94,667
"2015-01-01 00:00:00";14,248;7,6;0;44,259;51,674;0,739;9,594;92,064
