;"Biofuels and waste";"Coal";"Crude oil";"Electricity";"Gas";"Geothermal";"Heat";"Oil products"
"1971-01-01 00:00:00";;;;;;;;
"1975-01-01 00:00:00";;;;;;;;
"1980-01-01 00:00:00";;;;;;;;
"1985-01-01 00:00:00";;;;;;;;
"1990-01-01 00:00:00";130,337;38,242;0;18,489;5,638;0,008;0;50,167
"1995-01-01 00:00:00";136,607;36,492;0;27,102;8,403;0,021;0;68,654
"2000-01-01 00:00:00";144,42;33,147;0;32,349;9,669;0,035;0;94,363
"2005-01-01 00:00:00";152,631;44,022;0;42,083;13,268;0,096;0;105,569
"2010-01-01 00:00:00";172,373;87,07;0;62,424;27,214;0,292;0;134,241
"2015-01-01 00:00:00";160,802;98,308;0;88,852;29,335;0,663;0;174,375
