;"Biofuels and waste";"Coal";"Crude oil";"Electricity";"Gas";"Geothermal";"Heat";"Oil products"
"1971-01-01 00:00:00";35,0623397827148;78,4986724853516;0;123,807655334473;358,043579101562;;0;633,283874511719
"1975-01-01 00:00:00";36,7230110168457;66,4375839233398;0;145,787963867188;324,863464355469;;0;654,402587890625
"1980-01-01 00:00:00";54,3901557922363;56,1680793762207;0;174,163284301758;337,507232666016;;0;689,138366699219
"1985-01-01 00:00:00";64,7575225830078;56,7797393798828;0;193,724426269531;296,723876953125;;1,38349103927612;656,076477050781
"1990-01-01 00:00:00";22,597;55,657;0;226,447;303,076;0,336;2,151;683,293
"1995-01-01 00:00:00";29,468;30,382;0;261,563;326,451;0,406;7,454;722,023
"2000-01-01 00:00:00";52,161;32,576;0;300,9;359,988;1,959;5,282;793,424
"2005-01-01 00:00:00";54,037;31,336;0;320,854;309,09;2,085;3,26;842,416
"2010-01-01 00:00:00";68;26,854;3,604;325,737;321,633;2,155;6,637;758,367
"2015-01-01 00:00:00";79,918;19,515;4,302;325,093;333,256;2,559;5,458;737,648
