;"Energy";"Agriculture";"Industry and Construction";"Waste";"Other Sectors"
"1850-01-01 00:00:21";1,06;21,76;0;17,37;0
"1851-01-01 00:00:21";1,07;24,3;0;17,3;0,06
"1852-01-01 00:00:21";1,08;26,82;0;17,27;0,12
"1853-01-01 00:00:21";1,08;29,31;0;17,23;0,18
"1854-01-01 00:00:21";1,09;31,6;0;17,18;0,24
"1855-01-01 00:00:21";1,09;34,14;0;17,14;0,3
"1856-01-01 00:00:21";1,12;36,42;0;17,1;0,36
"1857-01-01 00:00:21";1,12;38,7;0;17,08;0,42
"1858-01-01 00:00:21";1,13;40,97;0;17,03;0,48
"1859-01-01 00:00:21";1,14;42,98;0;17,04;0,55
"1860-01-01 00:00:21";1,14;45,24;0;17,02;0,6
"1861-01-01 00:00:21";1,15;47,25;0;17,02;0,66
"1862-01-01 00:00:21";1,15;49,25;0;17,02;0,72
"1863-01-01 00:00:21";1,16;51,25;0;16,99;0,79
"1864-01-01 00:00:21";1,17;53;0;16,99;0,85
"1865-01-01 00:00:21";1,17;55,01;0;16,99;0,91
"1866-01-01 00:00:21";1,18;56,76;0;16,99;0,97
"1867-01-01 00:00:21";1,19;58,51;0;16,99;1,03
"1868-01-01 00:00:21";1,2;60,26;0;16,99;1,09
"1869-01-01 00:00:21";1,21;62,02;0;16,99;1,15
"1870-01-01 00:00:21";1,21;63,52;0;17;1,21
"1871-01-01 00:00:21";1,22;65,31;0;17;1,27
"1872-01-01 00:00:21";1,24;66,92;0;17,06;1,33
"1873-01-01 00:00:21";1,24;68,58;0;17,15;1,39
"1874-01-01 00:00:21";1,27;70,26;0;17,24;1,45
"1875-01-01 00:00:21";1,29;71,72;0;17,36;1,51
"1876-01-01 00:00:21";1,3;73,18;0;17,46;1,57
"1877-01-01 00:00:21";1,31;74,89;0;17,59;1,63
"1878-01-01 00:00:21";1,33;76,31;0;17,73;1,69
"1879-01-01 00:00:21";1,36;77,46;0;17,84;1,75
"1880-01-01 00:00:21";1,36;78,8;0;17,94;1,81
"1881-01-01 00:00:21";1,37;79,83;0;18,02;1,87
"1882-01-01 00:00:21";1,38;81,14;0,01;18,13;1,93
"1883-01-01 00:00:21";1,39;81,92;0,01;18,22;1,99
"1884-01-01 00:00:21";1,41;82,95;0,01;18,34;2,06
"1885-01-01 00:00:21";1,42;83,98;0,01;18,45;2,12
"1886-01-01 00:00:21";1,42;84,76;0,01;18,55;2,18
"1887-01-01 00:00:21";1,43;85,51;0,01;18,69;2,24
"1888-01-01 00:00:21";1,45;86,29;0,01;18,8;2,3
"1889-01-01 00:00:21";1,46;87,07;0,01;18,9;2,36
"1890-01-01 00:00:21";1,62;89,18;0,01;18,93;2,42
"1891-01-01 00:00:21";1,67;89,52;0,01;18,97;2,48
"1892-01-01 00:00:21";1,73;90,14;0,01;19;2,54
"1893-01-01 00:00:21";1,81;90,76;0,01;19,06;2,6
"1894-01-01 00:00:21";1,88;91,38;0,01;19,1;2,66
"1895-01-01 00:00:21";1,95;92,02;0,01;19,13;2,72
"1896-01-01 00:00:21";2,04;92,64;0,03;19,19;2,78
"1897-01-01 00:00:21";2,12;93,26;0,03;19,23;2,84
"1898-01-01 00:00:21";2,2;94,16;0,03;19,29;2,9
"1899-01-01 00:00:21";2,28;94,81;0,03;19,35;2,96
"1900-01-01 00:00:21";2,37;95,46;0,03;19,39;3,01
"1901-01-01 00:00:21";2,5;96,33;0,03;19,45;3,07
"1902-01-01 00:00:21";2,72;96,98;0,04;19,52;3,13
"1903-01-01 00:00:21";4,84;97,88;0,04;19,57;3,22
"1904-01-01 00:00:21";5,28;98,78;0,04;19,65;3,28
"1905-01-01 00:00:21";5,83;99,72;0,04;19,72;3,34
"1906-01-01 00:00:21";20,71;100,64;0,06;19,8;3,4
"1907-01-01 00:00:21";20,75;101,57;0,06;19,87;3,46
"1908-01-01 00:00:21";26,89;102,76;0,06;19,95;3,52
"1909-01-01 00:00:21";25,36;103,94;0,07;20,02;3,58
"1910-01-01 00:00:21";23,49;104,89;0,09;20,1;3,64
"1911-01-01 00:00:21";32,64;106,12;0,09;20,17;3,7
"1912-01-01 00:00:00";15,04;107,57;0,1;20,24;3,75
"1913-01-01 00:00:00";16,19;108,83;0,12;20,32;3,81
"1914-01-01 00:00:00";20,52;110,36;0,13;20,39;3,87
"1915-01-01 00:00:00";21,66;111,89;0,15;20,46;3,93
"1916-01-01 00:00:00";23,58;113,69;0,18;20,53;3,99
"1917-01-01 00:00:00";25,62;115,25;0,2;20,61;4,05
"1918-01-01 00:00:00";26,92;117,04;0,22;20,7;4,11
"1919-01-01 00:00:00";30,15;118,85;0,26;20,8;4,17
"1920-01-01 00:00:00";32,75;120,9;0,28;20,93;4,23
"1921-01-01 00:00:00";31,35;123,42;0,34;21,12;4,29
"1922-01-01 00:00:00";32,86;126,97;0,42;21,39;4,35
"1923-01-01 00:00:00";38,36;131,52;0,53;21,75;4,41
"1924-01-01 00:00:00";41,36;136,55;0,65;22,18;4,47
"1925-01-01 00:00:00";39,54;141,85;0,8;22,67;4,53
"1926-01-01 00:00:00";36,14;147,14;0,95;23,19;4,59
"1927-01-01 00:00:00";40,07;151,98;1,17;23,8;4,65
"1928-01-01 00:00:00";40,8;156,3;1,28;24,39;4,71
"1929-01-01 00:00:00";42,55;159,91;1,45;24,99;4,77
"1930-01-01 00:00:00";44,82;162,03;1,52;25,62;4,83
"1931-01-01 00:00:00";47,4;163,42;1,63;26,25;4,89
"1932-01-01 00:00:00";46,26;164,08;1,67;26,87;4,95
"1933-01-01 00:00:00";50,38;164,29;1,79;27,88;5,01
"1934-01-01 00:00:00";58,04;164,28;1,83;28,66;5,07
"1935-01-01 00:00:00";66,97;164,28;1,98;29,42;5,13
"1936-01-01 00:00:00";74,69;164,3;2,45;30,44;5,19
"1937-01-01 00:00:00";70,96;164,58;2,5;31,45;5,24
"1938-01-01 00:00:00";66,93;165,13;1,89;32,47;5,33
"1939-01-01 00:00:00";78,78;166,22;2,27;33,49;5,39
"1940-01-01 00:00:00";97,55;168,12;2,37;34,77;5,45
"1941-01-01 00:00:00";118,19;170,8;2,73;35,84;5,51
"1942-01-01 00:00:00";124,31;173,88;2,98;36,98;5,57
"1943-01-01 00:00:00";108,52;177,51;2,98;38,41;5,63
"1944-01-01 00:00:00";109,34;181,23;2,76;39,63;5,69
"1945-01-01 00:00:00";63,27;185,48;2,06;41,12;5,75
"1946-01-01 00:00:00";44,66;189,65;2,17;42,6;5,81
"1947-01-01 00:00:00";46,96;194,02;2,33;44,37;5,87
"1948-01-01 00:00:00";37,74;198,58;2,23;46,33;5,93
"1949-01-01 00:00:00";72,81;203,25;2,43;48,29;5,99
"1950-01-01 00:00:00";92,15;207,83;2,71;50,44;6,05
"1951-01-01 00:00:00";117,45;213,87;3,77;53,28;6,11
"1952-01-01 00:00:00";150,03;222,92;6,7;57,62;6,17
