;"Energy";"Agriculture";"Industry and Construction";"Waste";"Other Sectors"
"1850-01-01 00:00:21";0,43;3;0;0,34;0
"1851-01-01 00:00:21";0,41;3,01;0;0,35;0
"1852-01-01 00:00:21";0,43;3,02;0;0,35;0,01
"1853-01-01 00:00:21";0,46;3,04;0;0,35;0,01
"1854-01-01 00:00:21";0,56;3,05;0,01;0,36;0,01
"1855-01-01 00:00:21";0,56;3,09;0,01;0,36;0,01
"1856-01-01 00:00:21";0,77;3,09;0,01;0,37;0,02
"1857-01-01 00:00:21";0,78;3,12;0,01;0,37;0,02
"1858-01-01 00:00:21";0,6;3,15;0,01;0,37;0,02
"1859-01-01 00:00:21";0,74;3,18;0,01;0,38;0,03
"1860-01-01 00:00:21";0,65;3,21;0,01;0,38;0,03
"1861-01-01 00:00:21";0,91;3,23;0,01;0,39;0,03
"1862-01-01 00:00:21";0,8;3,26;0,01;0,39;0,03
"1863-01-01 00:00:21";0,89;3,31;0,01;0,39;0,04
"1864-01-01 00:00:21";0,78;3,33;0,01;0,4;0,04
"1865-01-01 00:00:21";1,17;3,38;0,01;0,4;0,04
"1866-01-01 00:00:21";1,09;3,41;0,01;0,4;0,05
"1867-01-01 00:00:21";1,07;3,46;0,01;0,41;0,05
"1868-01-01 00:00:21";1,25;3,51;0,01;0,41;0,05
"1869-01-01 00:00:21";1,1;3,53;0,01;0,42;0,06
"1870-01-01 00:00:21";1,32;3,58;0,01;0,42;0,06
"1871-01-01 00:00:21";1,37;3,64;0,01;0,43;0,06
"1872-01-01 00:00:21";1,31;3,71;0,01;0,43;0,06
"1873-01-01 00:00:21";1,33;3,79;0,01;0,44;0,07
"1874-01-01 00:00:21";1,43;3,88;0,02;0,44;0,07
"1875-01-01 00:00:21";1,68;4;0,02;0,45;0,07
"1876-01-01 00:00:21";1,77;4,09;0,02;0,45;0,08
"1877-01-01 00:00:21";1,76;4,18;0,02;0,46;0,08
"1878-01-01 00:00:21";1,68;4,29;0,02;0,47;0,08
"1879-01-01 00:00:21";1,88;4,36;0,02;0,47;0,08
"1880-01-01 00:00:21";2,13;4,43;0,02;0,48;0,09
"1881-01-01 00:00:21";2,25;4,52;0,02;0,48;0,09
"1882-01-01 00:00:21";2,41;4,59;0,03;0,49;0,09
"1883-01-01 00:00:21";2,75;4,66;0,03;0,49;0,1
"1884-01-01 00:00:21";2,75;4,72;0,03;0,5;0,1
"1885-01-01 00:00:21";2,88;4,8;0,03;0,51;0,1
"1886-01-01 00:00:21";2,76;4,88;0,03;0,51;0,1
"1887-01-01 00:00:21";2,83;4,93;0,03;0,52;0,11
"1888-01-01 00:00:21";3,17;5,02;0,03;0,52;0,11
"1889-01-01 00:00:21";3,38;5,09;0,04;0,53;0,11
"1890-01-01 00:00:21";3,25;4,32;0,04;0,54;0,12
"1891-01-01 00:00:21";3,5;4,94;0,04;0,55;0,12
"1892-01-01 00:00:21";3,59;5,52;0,04;0,55;0,12
"1893-01-01 00:00:21";3,42;6,06;0,04;0,56;0,13
"1894-01-01 00:00:21";3,86;6,54;0,04;0,57;0,13
"1895-01-01 00:00:21";3,99;6,96;0,04;0,59;0,13
"1896-01-01 00:00:21";4,86;7,32;0,04;0,6;0,13
"1897-01-01 00:00:21";5,19;7,59;0,04;0,6;0,14
"1898-01-01 00:00:21";5,39;7,82;0,04;0,61;0,14
"1899-01-01 00:00:21";5,88;7,95;0,04;0,62;0,14
"1900-01-01 00:00:21";5,78;8;0,04;0,63;0,15
"1901-01-01 00:00:21";6,02;7,95;0,04;0,64;0,15
"1902-01-01 00:00:21";6,19;7,83;0,04;0,65;0,15
"1903-01-01 00:00:21";6,44;7,62;0,04;0,65;0,15
"1904-01-01 00:00:21";6,94;7,41;0,04;0,66;0,16
"1905-01-01 00:00:21";6,77;7,15;0,04;0,67;0,16
"1906-01-01 00:00:21";7,36;6,92;0,04;0,68;0,16
"1907-01-01 00:00:21";6,6;6,67;0,04;0,69;0,17
"1908-01-01 00:00:21";8,12;6,5;0,04;0,7;0,17
"1909-01-01 00:00:21";8,96;6,35;0,04;0,71;0,17
"1910-01-01 00:00:21";8,26;6,32;0,04;0,72;0,17
"1911-01-01 00:00:21";8,78;6,32;0,04;0,72;0,18
"1912-01-01 00:00:00";10,34;6,34;0,04;0,73;0,18
"1913-01-01 00:00:00";10,57;6,38;0,04;0,74;0,18
"1914-01-01 00:00:00";10,87;6,4;0,04;0,75;0,19
"1915-01-01 00:00:00";11,57;6,45;0,04;0,76;0,19
"1916-01-01 00:00:00";11,37;6,49;0,04;0,77;0,19
"1917-01-01 00:00:00";8,37;6,55;0,04;0,78;0,19
"1918-01-01 00:00:00";9,71;6,61;0,04;0,79;0,2
"1919-01-01 00:00:00";9,24;6,67;0,04;0,8;0,2
"1920-01-01 00:00:00";8,13;6,73;0,04;0,81;0,2
"1921-01-01 00:00:00";7,7;6,79;0,05;0,82;0,21
"1922-01-01 00:00:00";10,8;6,87;0,05;0,83;0,21
"1923-01-01 00:00:00";11,72;6,98;0,05;0,84;0,21
"1924-01-01 00:00:00";13,74;7,1;0,05;0,86;0,22
"1925-01-01 00:00:00";11,94;7,22;0,06;0,87;0,22
"1926-01-01 00:00:00";11,76;7,37;0,06;0,88;0,22
"1927-01-01 00:00:00";14,76;7,49;0,47;0,9;0,22
"1928-01-01 00:00:00";13,58;7,61;0,47;0,91;0,23
"1929-01-01 00:00:00";16,28;7,78;0,49;0,93;0,23
"1930-01-01 00:00:00";14,88;7,89;0,48;0,94;0,23
"1931-01-01 00:00:00";15,58;8,01;0,34;0,95;0,24
"1932-01-01 00:00:00";14,68;8,19;0,3;0,96;0,24
"1933-01-01 00:00:00";14,59;8,33;0,4;0,97;0,24
"1934-01-01 00:00:00";15,79;8,51;0,54;0,98;0,24
"1935-01-01 00:00:00";16,49;8,7;0,55;0,98;0,25
"1936-01-01 00:00:00";17,09;8,86;0,59;0,99;0,25
"1937-01-01 00:00:00";17,69;8,98;0,55;1;0,25
"1938-01-01 00:00:00";15,89;9,09;0,57;1,02;0,26
"1939-01-01 00:00:00";17,69;9,16;0,62;1,03;0,26
"1940-01-01 00:00:00";16,19;9,17;0,51;1,05;0,26
"1941-01-01 00:00:00";18,99;9,27;0,51;1,07;0,26
"1942-01-01 00:00:00";17,99;9,46;0,54;1,1;0,27
"1943-01-01 00:00:00";22,39;9,81;0,66;1,15;0,27
"1944-01-01 00:00:00";21,98;10,16;0,68;1,21;0,27
"1945-01-01 00:00:00";15,48;10,56;0,48;1,26;0,28
"1946-01-01 00:00:00";19,27;11;0,64;1,32;0,28
"1947-01-01 00:00:00";23,27;11,4;0,72;1,38;0,28
"1948-01-01 00:00:00";18,46;11,73;0,82;1,43;0,29
"1949-01-01 00:00:00";18,26;11,98;0,87;1,47;0,29
"1950-01-01 00:00:00";23,86;12,05;0,93;1,5;0,29
"1951-01-01 00:00:00";23,76;12,13;1,03;1,54;0,29
"1952-01-01 00:00:00";24,76;12,27;1,23;1,56;0,3
"1953-01-01 00:00:00";25,07;12,45;1,33;1,59;0,3
"1954-01-01 00:00:00";27,67;12,64;1,42;1,61;0,3
"1955-01-01 00:00:00";29,49;12,87;1,55;1,63;0,31
"1956-01-01 00:00:00";28,8;13,07;1,64;1,65;0,31
"1957-01-01 00:00:00";27,2;13,28;1,76;1,67;0,31
"1958-01-01 00:00:00";29,41;13,46;1,85;1,68;0,31
"1959-01-01 00:00:00";28,52;13,6;2,14;1,7;0,32
"1960-01-01 00:00:00";32,42;13,72;2,3;1,7;0,32
"1961-01-01 00:00:00";34,53;13,85;2,5;1,7;0,32
"1962-01-01 00:00:00";40,14;13,72;2,67;1,7;0,32
"1963-01-01 00:00:00";44,35;13,4;2,76;1,72;0,33
"1964-01-01 00:00:00";46,76;13,5;3,12;1,72;0,33
"1965-01-01 00:00:00";48,07;13,9;3,32;1,72;0,33
"1966-01-01 00:00:00";54,28;13,97;3,53;1,73;0,34
"1967-01-01 00:00:00";53,19;13,99;3,74;1,73;0,34
"1968-01-01 00:00:00";57,8;13,65;3,92;1,74;0,34
"1969-01-01 00:00:00";64,1;13,44;4,22;1,74;0,35
"1970-01-01 00:00:00";66,96;12,98;4,29;1,67;0,35
"1971-01-01 00:00:00";61,62;12,91;4,35;1,78;0,34
"1972-01-01 00:00:00";64,43;13,35;3,59;1,78;0,37
"1973-01-01 00:00:00";64,18;13,82;3,82;1,79;0,35
"1974-01-01 00:00:00";59,93;13,57;5,06;1,8;0,33
"1975-01-01 00:00:00";60,67;13,68;4,06;1,79;0,35
"1976-01-01 00:00:00";65,03;13,83;2,45;1,8;0,36
"1977-01-01 00:00:00";67,33;14,18;3,95;1,8;0,37
"1978-01-01 00:00:00";66,13;14,42;3,81;1,81;0,37
"1979-01-01 00:00:00";68,83;14,56;3,13;1,82;0,39
"1980-01-01 00:00:00";66,12;14,36;4,19;1,82;0,39
"1981-01-01 00:00:00";56,9;14,22;2,22;1,82;0,34
"1982-01-01 00:00:00";59,01;14,14;3,05;1,82;0,37
"1983-01-01 00:00:00";55,19;14,19;4,51;1,82;0,35
"1984-01-01 00:00:00";56,1;13,82;2,05;1,83;0,35
"1985-01-01 00:00:00";65,69;13,38;2,13;1,83;0,41
"1986-01-01 00:00:00";64,12;13,11;2,88;1,83;0,42
"1987-01-01 00:00:00";63,51;12,73;2,63;1,84;0,41
"1988-01-01 00:00:00";60,51;12,5;2,21;1,84;0,39
"1989-01-01 00:00:00";53,23;12,69;2,88;1,84;0,38
"1990-01-01 00:00:00";53,74;12,72;2,39;1,83;0,34
"1991-01-01 00:00:00";64,4;12,56;2,52;1,84;0,38
"1992-01-01 00:00:00";58,51;12,37;2,57;1,81;0,33
"1993-01-01 00:00:00";60,75;12,32;2,64;1,82;0,32
"1994-01-01 00:00:00";64,75;12,16;2,75;1,76;0,33
"1995-01-01 00:00:00";61,69;12,17;2,94;1,67;0,32
"1996-01-01 00:00:00";75,16;11,77;3,07;1,62;0,35
"1997-01-01 00:00:00";65,69;11,76;3,15;1,55;0,31
"1998-01-01 00:00:00";61,67;11,73;3,26;1,5;0,29
"1999-01-01 00:00:00";59,23;11,38;3,5;1,56;0,27
"2000-01-01 00:00:00";54,91;11,29;3,68;1,56;0,26
"2001-01-01 00:00:00";56,75;11,3;3,56;1,59;0,26
"2002-01-01 00:00:00";56,21;11,36;3,53;1,62;0,25
"2003-01-01 00:00:00";61,5;11,11;3,54;1,63;0,26
"2004-01-01 00:00:00";55,91;11,05;3,37;1,33;0,25
"2005-01-01 00:00:00";52,2;10,87;3,49;1,32;0,24
"2006-01-01 00:00:00";60,09;10,6;2,93;1,38;0,25
"2007-01-01 00:00:00";55,32;10,82;2,96;1,36;0,24
"2008-01-01 00:00:00";52,06;10,78;2,64;1,34;0,23
"2009-01-01 00:00:00";49,94;10,53;2,14;1,3;0,21
"2010-01-01 00:00:00";50,73;10,46;2,1;1,23;0,21
"2011-01-01 00:00:00";45,39;10,42;2,44;1,23;0,2
"2012-01-01 00:00:00";40,76;10,41;2,54;1,19;0,19
"2013-01-01 00:00:00";42,54;10,41;2,2;1,16;0,19
"2014-01-01 00:00:00";38,27;10,55;2,14;1,2;0,19
"2015-01-01 00:00:00";35,97;10,44;2,08;1,18;0,18
"2016-01-01 00:00:00";37,59;10,59;2,21;1,29;0,17
