;"Energy";"Agriculture";"Industry and Construction";"Waste";"Other Sectors"
"1850-01-01 00:00:21";24,87;14,56;0,45;2,97;0
"1851-01-01 00:00:21";25,3;14,63;0,46;3,02;0,02
"1852-01-01 00:00:21";26,83;14,68;0,5;3,05;0,04
"1853-01-01 00:00:21";30,51;14,76;0,58;3,13;0,07
"1854-01-01 00:00:21";34,4;14,84;0,67;3,18;0,09
"1855-01-01 00:00:21";38,2;14,95;0,76;3,23;0,11
"1856-01-01 00:00:21";39,92;15,05;0,79;3,29;0,13
"1857-01-01 00:00:21";40,68;15,17;0,81;3,32;0,16
"1858-01-01 00:00:21";40,16;15,29;0,79;3,34;0,18
"1859-01-01 00:00:21";40,76;15,42;0,8;3,39;0,2
"1860-01-01 00:00:21";44,06;15,57;0,87;3,44;0,22
"1861-01-01 00:00:21";47,32;15,73;0,94;3,48;0,25
"1862-01-01 00:00:21";49,77;15,89;0,99;3,55;0,27
"1863-01-01 00:00:21";50,62;16,06;1,01;3,58;0,29
"1864-01-01 00:00:21";53,52;16,25;1,07;3,62;0,31
"1865-01-01 00:00:21";56,22;16,45;1,12;3,66;0,33
"1866-01-01 00:00:21";60,62;16,66;1,22;3,71;0,36
"1867-01-01 00:00:21";61,64;16,86;1,24;3,77;0,38
"1868-01-01 00:00:21";63,29;17,08;1,27;3,8;0,4
"1869-01-01 00:00:21";64,97;17,31;1,3;3,83;0,42
"1870-01-01 00:00:21";59,14;17,53;1,15;3,84;0,45
"1871-01-01 00:00:21";59,22;17,81;1,15;3,87;0,47
"1872-01-01 00:00:21";70,04;18,16;1,39;4;0,49
"1873-01-01 00:00:21";75,26;18,54;1,5;4,08;0,51
"1874-01-01 00:00:21";72,61;18,97;1,43;4,12;0,54
"1875-01-01 00:00:21";75,58;19,4;1,49;4,19;0,56
"1876-01-01 00:00:21";76,14;19,85;1,49;4,25;0,58
"1877-01-01 00:00:21";75,22;20,3;1,45;4,29;0,6
"1878-01-01 00:00:21";77,01;20,71;1,48;4,36;0,63
"1879-01-01 00:00:21";79,68;21,11;1,54;4,42;0,65
"1880-01-01 00:00:21";88,58;21,52;1,73;4,53;0,67
"1881-01-01 00:00:21";90,88;21,88;1,77;4,59;0,69
"1882-01-01 00:00:21";95,56;22,22;1,87;4,68;0,72
"1883-01-01 00:00:21";99,96;22,58;1,96;4,73;0,74
"1884-01-01 00:00:21";97,16;22,9;1,88;4,75;0,76
"1885-01-01 00:00:21";94,57;23,23;1,81;4,78;0,78
"1886-01-01 00:00:21";94,37;23,58;1,8;4,83;0,8
"1887-01-01 00:00:21";99,01;23,93;1,89;4,91;0,83
"1888-01-01 00:00:21";102,81;24,3;1,97;4,98;0,85
"1889-01-01 00:00:21";105,43;24,65;2,02;5,04;0,87
"1890-01-01 00:00:21";115,2;21,02;2,05;5,18;0,89
"1891-01-01 00:00:21";115,99;23,95;2,06;5,25;0,91
"1892-01-01 00:00:21";116,92;26,71;2,08;5,33;0,94
"1893-01-01 00:00:21";115,85;29,24;2,08;5,37;0,96
"1894-01-01 00:00:21";122,01;31,6;2,1;5,48;0,98
"1895-01-01 00:00:21";123,64;33,62;2,11;5,57;1
"1896-01-01 00:00:21";127,49;35,37;2,14;5,67;1,03
"1897-01-01 00:00:21";133,26;36,58;2,16;5,75;1,05
"1898-01-01 00:00:21";137,91;37,73;2,18;5,85;1,07
"1899-01-01 00:00:21";143,7;38,33;2,2;5,96;1,09
"1900-01-01 00:00:21";153,49;38,63;2,22;6,1;1,12
"1901-01-01 00:00:21";149,28;38,34;2,23;6,14;1,14
"1902-01-01 00:00:21";143,33;37,74;2,25;6,15;1,16
"1903-01-01 00:00:21";156,39;36,9;2,26;6,31;1,18
"1904-01-01 00:00:21";153,44;35,74;2,29;6,36;1,21
"1905-01-01 00:00:21";156,5;34,56;2,31;6,45;1,23
"1906-01-01 00:00:21";166,31;33,43;2,33;6,59;1,25
"1907-01-01 00:00:21";176,11;32,3;2,36;6,72;1,27
"1908-01-01 00:00:21";177,92;31,43;2,38;6,8;1,3
"1909-01-01 00:00:21";181,46;30,85;2,4;6,9;1,32
"1910-01-01 00:00:21";181,75;30,57;2,42;6,99;1,34
"1911-01-01 00:00:21";188,78;30,58;2,45;7,11;1,36
"1912-01-01 00:00:00";189,81;30,58;2,48;7,19;1,39
"1913-01-01 00:00:00";201,58;30,88;2,52;7,35;1,41
"1914-01-01 00:00:00";150,1;30,79;2,56;7,09;1,43
"1915-01-01 00:00:00";134,62;31,04;2,6;7,09;1,45
"1916-01-01 00:00:00";141,14;31,33;2,63;7,21;1,48
"1917-01-01 00:00:00";151,91;31,38;2,68;7,36;1,5
"1918-01-01 00:00:00";138,69;31,64;2,72;7,38;1,52
"1919-01-01 00:00:00";146,46;31,96;2,78;7,51;1,54
"1920-01-01 00:00:00";181,49;32,31;2,84;7,85;1,56
"1921-01-01 00:00:00";167,78;32,56;2,98;7,82;1,59
"1922-01-01 00:00:00";193,57;33,17;3,25;8,1;1,61
"1923-01-01 00:00:00";214,37;33,8;3,63;8,32;1,63
"1924-01-01 00:00:00";237,17;34,4;4,09;8,56;1,65
"1925-01-01 00:00:00";244,97;35;4,6;8,69;1,67
"1926-01-01 00:00:00";246,02;35,59;5,14;8,79;1,7
"1927-01-01 00:00:00";245,82;36,18;8,87;8,89;1,72
"1928-01-01 00:00:00";243,61;37,04;8,91;8,94;1,74
"1929-01-01 00:00:00";265,14;37,66;10,35;9,2;1,76
"1930-01-01 00:00:00";269,16;38,23;10,22;9,29;1,79
"1931-01-01 00:00:00";249,17;38,81;10,52;9,26;1,81
"1932-01-01 00:00:00";224,43;39,61;11,01;9,17;1,83
"1933-01-01 00:00:00";232,44;40,24;11,23;9,29;1,85
"1934-01-01 00:00:00";234,45;41,12;11,88;9,38;1,88
"1935-01-01 00:00:00";228,46;41,94;12,12;9,41;1,9
"1936-01-01 00:00:00";231,46;42,57;12,83;9,52;1,92
