;"Energy";"Agriculture";"Industry and Construction";"Waste";"Other Sectors"
"1850-01-01 00:00:21";25,73;13,36;0,46;8,47;0
"1851-01-01 00:00:21";27,47;13,41;0,51;8,6;0,04
"1852-01-01 00:00:21";29,85;13,47;0,58;8,7;0,08
"1853-01-01 00:00:21";31,46;13,56;0,63;8,8;0,11
"1854-01-01 00:00:21";35,24;13,63;0,74;8,9;0,15
"1855-01-01 00:00:21";39,55;13,75;0,87;9;0,19
"1856-01-01 00:00:21";42,11;13,85;0,94;9,13;0,23
"1857-01-01 00:00:21";44,42;13,95;1;9,24;0,26
"1858-01-01 00:00:21";47,34;14,08;1,08;9,34;0,3
"1859-01-01 00:00:21";45,89;14,19;1,02;9,44;0,34
"1860-01-01 00:00:21";48,92;14,33;1,1;9,54;0,38
"1861-01-01 00:00:21";54,14;14,47;1,25;9,64;0,41
"1862-01-01 00:00:21";58,72;14,63;1,38;9,71;0,45
"1863-01-01 00:00:21";63,04;14,79;1,49;9,81;0,49
"1864-01-01 00:00:21";70,67;14,96;1,71;9,91;0,53
"1865-01-01 00:00:21";77,94;15,17;1,92;9,99;0,56
"1866-01-01 00:00:21";78,08;15,34;1,9;10,09;0,6
"1867-01-01 00:00:21";84,8;15,54;2,09;10,19;0,64
"1868-01-01 00:00:21";90,55;15,75;2,25;10,29;0,68
"1869-01-01 00:00:21";94,45;15,96;2,35;10,39;0,72
"1870-01-01 00:00:21";94,18;16,18;2,32;10,51;0,75
"1871-01-01 00:00:21";103,51;16,47;2,58;10,61;0,79
"1872-01-01 00:00:21";110,91;16,8;2,79;10,75;0,83
"1873-01-01 00:00:21";117,81;17,17;2,98;10,9;0,86
"1874-01-01 00:00:21";92,48;17,47;2,17;11,03;0,9
"1875-01-01 00:00:21";122,64;17,98;3,08;11,19;0,94
"1876-01-01 00:00:21";125,01;18,41;3,14;11,35;0,98
"1877-01-01 00:00:21";124,22;18,86;3,07;11,51;1,02
"1878-01-01 00:00:21";127,76;19,27;3,17;11,66;1,05
"1879-01-01 00:00:21";135,78;19,68;3,36;11,82;1,09
"1880-01-01 00:00:21";149,8;20,05;3,78;11,97;1,13
"1881-01-01 00:00:21";160,56;20,38;4,07;12,13;1,17
"1882-01-01 00:00:21";170,57;20,71;4,36;12,28;1,2
"1883-01-01 00:00:21";180,58;21,04;4,64;12,43;1,24
"1884-01-01 00:00:21";185,58;21,38;4,78;12,56;1,28
"1885-01-01 00:00:21";190,34;21,7;4,89;12,71;1,32
"1886-01-01 00:00:21";193,34;22,04;4,94;12,86;1,36
"1887-01-01 00:00:21";201,35;22,36;5,16;13,01;1,39
"1888-01-01 00:00:21";218,35;22,7;5,65;13,17;1,43
"1889-01-01 00:00:21";231,36;23,06;6,03;13,34;1,47
"1890-01-01 00:00:21";241,99;19,69;5,83;13,54;1,5
"1891-01-01 00:00:21";255,28;22,47;5,85;13,74;1,54
"1892-01-01 00:00:21";251,57;25,04;5,86;13,94;1,58
"1893-01-01 00:00:21";257,86;27,42;5,89;14,17;1,62
"1894-01-01 00:00:21";268,15;29,57;5,9;14,37;1,66
"1895-01-01 00:00:21";278,45;31,4;5,93;14,58;1,69
"1896-01-01 00:00:21";296,75;33,2;5,96;14,78;1,73
"1897-01-01 00:00:21";315,06;34,46;5,98;15;1,77
"1898-01-01 00:00:21";328,36;35,39;6,01;15,2;1,81
"1899-01-01 00:00:21";346,67;36,03;6,04;15,41;1,84
"1900-01-01 00:00:21";370,98;36,37;6,07;15,64;1,88
"1901-01-01 00:00:21";371,54;36,09;6,1;15,84;1,92
"1902-01-01 00:00:21";367,12;35,48;6,13;16,06;1,96
"1903-01-01 00:00:21";392,7;34,68;6,18;16,27;1,99
"1904-01-01 00:00:21";406,53;33,81;6,21;16,5;2,03
"1905-01-01 00:00:21";434,12;32,71;6,25;16,71;2,07
"1906-01-01 00:00:21";415,71;31,48;6,31;16,93;2,11
"1907-01-01 00:00:21";495,04;30,77;6,35;17,17;2,15
"1908-01-01 00:00:21";501,12;29,93;6,41;17,39;2,18
"1909-01-01 00:00:21";500,93;29,36;6,47;17,63;2,22
"1910-01-01 00:00:21";501,49;29,13;6,53;17,85;2,26
"1911-01-01 00:00:21";514,29;29,19;6,58;18,08;2,29
"1912-01-01 00:00:00";552,82;29,37;6,64;18,34;2,33
"1913-01-01 00:00:00";588,11;29,6;6,7;18,56;2,37
"1914-01-01 00:00:00";550,14;29,66;6,77;18,82;2,41
"1915-01-01 00:00:00";514,92;29,77;6,85;19,07;2,45
"1916-01-01 00:00:00";550,96;30,08;6,94;19,32;2,48
"1917-01-01 00:00:00";572,99;30,37;7,03;19,58;2,52
