;"Energy";"Agriculture";"Industry and Construction";"Waste";"Other Sectors"
"1850-01-01 00:00:21";2,71;57,36;0;1,18;0
"1851-01-01 00:00:21";2,75;63,98;0;1,18;0,03
"1852-01-01 00:00:21";2,78;70,35;0;1,18;0,06
"1853-01-01 00:00:21";2,81;76,97;0;1,17;0,09
"1854-01-01 00:00:21";2,84;83,34;0;1,17;0,13
"1855-01-01 00:00:21";2,87;89,43;0;1,17;0,16
"1856-01-01 00:00:21";2,9;95,51;0;1,17;0,19
"1857-01-01 00:00:21";3,07;101,35;0;1,17;0,22
"1858-01-01 00:00:21";2,99;107,16;0;1,17;0,25
"1859-01-01 00:00:21";3,25;112,94;0;1,17;0,28
"1860-01-01 00:00:21";3,26;118,22;0;1,17;0,32
"1861-01-01 00:00:21";3,14;123,75;0;1,17;0,35
"1862-01-01 00:00:21";3,22;129;0;1,17;0,38
"1863-01-01 00:00:21";3,28;134;0;1,17;0,41
"1864-01-01 00:00:21";3,27;139,25;0;1,17;0,44
"1865-01-01 00:00:21";3,26;144;0;1,17;0,47
"1866-01-01 00:00:21";3,36;148,78;0;1,16;0,51
"1867-01-01 00:00:21";3,48;153,54;0;1,16;0,54
"1868-01-01 00:00:21";3,59;158,04;0;1,16;0,57
"1869-01-01 00:00:21";3,73;162,29;0;1,16;0,6
"1870-01-01 00:00:21";3,88;166,57;0;1,16;0,63
"1871-01-01 00:00:21";4,01;170,94;0;1,17;0,66
"1872-01-01 00:00:21";4,16;175,24;0;1,18;0,69
"1873-01-01 00:00:21";4,32;179,66;0;1,18;0,73
"1874-01-01 00:00:21";4,44;183,94;0;1,19;0,76
"1875-01-01 00:00:21";4,55;188,04;0;1,2;0,79
"1876-01-01 00:00:21";4,66;192,14;0;1,21;0,82
"1877-01-01 00:00:21";4,72;196,23;0;1,23;0,85
"1878-01-01 00:00:21";4,76;199,99;0;1,24;0,89
"1879-01-01 00:00:21";4,7;203,38;0;1,25;0,91
"1880-01-01 00:00:21";4,92;206,61;0;1,25;0,95
"1881-01-01 00:00:21";4,88;209,48;0;1,27;0,98
"1882-01-01 00:00:21";5,27;212,36;0;1,27;1,01
"1883-01-01 00:00:21";5,53;215,2;0;1,28;1,04
"1884-01-01 00:00:21";5,83;217,79;0;1,29;1,07
"1885-01-01 00:00:21";5,59;220,1;0;1,29;1,11
"1886-01-01 00:00:21";5,9;222,44;0;1,3;1,14
"1887-01-01 00:00:21";6,23;224,5;0;1,31;1,17
"1888-01-01 00:00:21";6,61;226,57;0;1,32;1,2
"1889-01-01 00:00:21";7,24;228,41;0;1,32;1,23
"1890-01-01 00:00:21";8,1;230,14;0;1,43;1,26
"1891-01-01 00:00:21";8,61;231,18;0;1,45;1,3
"1892-01-01 00:00:21";9,27;232,21;0;1,48;1,33
"1893-01-01 00:00:21";9,75;232,98;0;1,51;1,36
"1894-01-01 00:00:21";10,07;233,76;0;1,54;1,39
"1895-01-01 00:00:21";11,71;234,55;0,01;1,58;1,42
"1896-01-01 00:00:21";12,54;235,34;0,01;1,62;1,45
"1897-01-01 00:00:21";13,44;235,87;0,01;1,68;1,48
"1898-01-01 00:00:21";14,57;236,66;0,01;1,73;1,52
"1899-01-01 00:00:21";15,77;236,94;0,01;1,78;1,55
