;"Energy";"Agriculture";"Industry and Construction";"Waste";"Other Sectors"
"1850-01-01 00:00:21";0,02;0,18;0;0,03;0
"1851-01-01 00:00:21";0,02;0,18;0;0,03;0
"1852-01-01 00:00:21";0,02;0,19;0;0,03;0
"1853-01-01 00:00:21";0,02;0,19;0;0,03;0
"1854-01-01 00:00:21";0,02;0,2;0;0,03;0
"1855-01-01 00:00:21";0,02;0,21;0;0,03;0
"1856-01-01 00:00:21";0,02;0,21;0;0,03;0
"1857-01-01 00:00:21";0,02;0,22;0;0,03;0
"1858-01-01 00:00:21";0,02;0,22;0;0,03;0
"1859-01-01 00:00:21";0,02;0,23;0;0,03;0
"1860-01-01 00:00:21";0,02;0,23;0;0,03;0
"1861-01-01 00:00:21";0,03;0,24;0;0,03;0
"1862-01-01 00:00:21";0,03;0,24;0;0,03;0,01
"1863-01-01 00:00:21";0,03;0,24;0;0,03;0,01
"1864-01-01 00:00:21";0,03;0,25;0;0,03;0,01
"1865-01-01 00:00:21";0,03;0,25;0;0,03;0,01
"1866-01-01 00:00:21";0,03;0,26;0;0,03;0,01
"1867-01-01 00:00:21";0,03;0,26;0;0,03;0,01
"1868-01-01 00:00:21";0,03;0,26;0;0,03;0,01
"1869-01-01 00:00:21";0,03;0,27;0;0,03;0,01
"1870-01-01 00:00:21";0,03;0,27;0;0,03;0,01
"1871-01-01 00:00:21";0,03;0,27;0;0,03;0,01
"1872-01-01 00:00:21";0,03;0,28;0;0,03;0,01
"1873-01-01 00:00:21";0,03;0,28;0;0,03;0,01
"1874-01-01 00:00:21";0,04;0,3;0;0,03;0,01
"1875-01-01 00:00:21";0,04;0,3;0;0,04;0,01
"1876-01-01 00:00:21";0,05;0,31;0;0,04;0,01
"1877-01-01 00:00:21";0,05;0,32;0;0,04;0,01
"1878-01-01 00:00:21";0,05;0,32;0;0,04;0,01
"1879-01-01 00:00:21";0,05;0,34;0;0,04;0,01
"1880-01-01 00:00:21";0,05;0,34;0;0,04;0,01
"1881-01-01 00:00:21";0,05;0,34;0;0,04;0,01
"1882-01-01 00:00:21";0,05;0,35;0;0,05;0,01
"1883-01-01 00:00:21";0,05;0,35;0;0,05;0,01
"1884-01-01 00:00:21";0,06;0,35;0;0,05;0,01
"1885-01-01 00:00:21";0,06;0,36;0;0,05;0,01
"1886-01-01 00:00:21";0,06;0,36;0;0,05;0,02
"1887-01-01 00:00:21";0,06;0,36;0;0,05;0,02
"1888-01-01 00:00:21";0,06;0,37;0;0,05;0,02
"1889-01-01 00:00:21";0,06;0,37;0;0,05;0,02
"1890-01-01 00:00:21";0,06;0,38;0;0,05;0,02
"1891-01-01 00:00:21";0,06;0,38;0;0,05;0,02
"1892-01-01 00:00:21";0,07;0,39;0;0,05;0,02
"1893-01-01 00:00:21";0,07;0,39;0;0,05;0,02
"1894-01-01 00:00:21";0,07;0,39;0;0,05;0,02
"1895-01-01 00:00:21";0,07;0,39;0;0,05;0,02
"1896-01-01 00:00:21";0,08;0,39;0;0,05;0,02
"1897-01-01 00:00:21";0,09;0,39;0;0,05;0,02
"1898-01-01 00:00:21";0,09;0,39;0;0,05;0,02
"1899-01-01 00:00:21";0,09;0,41;0;0,05;0,02
"1900-01-01 00:00:21";0,09;0,41;0;0,05;0,02
"1901-01-01 00:00:21";0,1;0,41;0;0,05;0,02
"1902-01-01 00:00:21";0,1;0,41;0;0,05;0,02
"1903-01-01 00:00:21";0,11;0,41;0;0,05;0,02
"1904-01-01 00:00:21";0,13;0,42;0;0,05;0,02
"1905-01-01 00:00:21";0,14;0,42;0;0,06;0,02
"1906-01-01 00:00:21";0,15;0,42;0;0,06;0,02
"1907-01-01 00:00:21";0,16;0,42;0;0,06;0,02
"1908-01-01 00:00:21";0,16;0,43;0;0,06;0,02
"1909-01-01 00:00:21";0,17;0,44;0;0,06;0,02
"1910-01-01 00:00:21";0,19;0,44;0;0,06;0,03
"1911-01-01 00:00:21";0,19;0,44;0;0,06;0,03
"1912-01-01 00:00:00";0,2;0,46;0;0,06;0,03
"1913-01-01 00:00:00";0,21;0,46;0;0,06;0,03
"1914-01-01 00:00:00";0,22;0,48;0;0,06;0,03
"1915-01-01 00:00:00";0,22;0,5;0;0,06;0,03
"1916-01-01 00:00:00";0,23;0,52;0;0,06;0,03
"1917-01-01 00:00:00";0,23;0,52;0;0,06;0,03
"1918-01-01 00:00:00";0,23;0,54;0;0,06;0,03
"1919-01-01 00:00:00";0,24;0,56;0;0,07;0,03
"1920-01-01 00:00:00";0,24;0,58;0;0,07;0,03
"1921-01-01 00:00:00";0,24;0,58;0;0,07;0,03
"1922-01-01 00:00:00";0,25;0,6;0;0,07;0,03
"1923-01-01 00:00:00";0,25;0,62;0;0,07;0,03
"1924-01-01 00:00:00";0,25;0,64;0;0,08;0,03
"1925-01-01 00:00:00";0,26;0,66;0;0,08;0,03
"1926-01-01 00:00:00";0,26;0,68;0;0,08;0,03
"1927-01-01 00:00:00";0,27;0,69;0;0,09;0,03
"1928-01-01 00:00:00";0,27;0,71;0;0,09;0,03
"1929-01-01 00:00:00";0,27;0,71;0;0,1;0,03
"1930-01-01 00:00:00";0,28;0,71;0;0,1;0,03
"1931-01-01 00:00:00";0,28;0,71;0;0,11;0,03
"1932-01-01 00:00:00";0,3;0,71;0;0,11;0,03
"1933-01-01 00:00:00";0,3;0,71;0;0,12;0,03
"1934-01-01 00:00:00";0,31;0,7;0;0,13;0,04
"1935-01-01 00:00:00";0,33;0,7;0;0,13;0,04
"1936-01-01 00:00:00";0,34;0,68;0;0,14;0,04
"1937-01-01 00:00:00";0,35;0,68;0;0,15;0,04
"1938-01-01 00:00:00";0,37;0,67;0;0,15;0,04
"1939-01-01 00:00:00";0,39;0,67;0;0,16;0,04
"1940-01-01 00:00:00";0,41;0,67;0;0,17;0,04
"1941-01-01 00:00:00";0,42;0,7;0;0,18;0,04
"1942-01-01 00:00:00";0,43;0,79;0;0,19;0,04
"1943-01-01 00:00:00";0,45;0,93;0;0,21;0,04
"1944-01-01 00:00:00";0,47;1,08;0;0,22;0,04
"1945-01-01 00:00:00";0,49;1,26;0,01;0,23;0,04
"1946-01-01 00:00:00";0,51;1,43;0,01;0,25;0,04
"1947-01-01 00:00:00";0,54;1,6;0,01;0,26;0,04
"1948-01-01 00:00:00";0,56;1,73;0,01;0,28;0,04
"1949-01-01 00:00:00";0,64;1,82;0,01;0,3;0,04
"1950-01-01 00:00:00";0,76;1,86;0,01;0,31;0,04
"1951-01-01 00:00:00";0,66;1,84;0,01;0,33;0,04
"1952-01-01 00:00:00";0,71;1,81;0,01;0,34;0,04
"1953-01-01 00:00:00";0,77;1,75;0,01;0,36;0,04
"1954-01-01 00:00:00";0,83;1,68;0,01;0,37;0,04
"1955-01-01 00:00:00";0,86;1,59;0,01;0,39;0,04
"1956-01-01 00:00:00";0,93;1,52;0,01;0,4;0,04
"1957-01-01 00:00:00";0,99;1,44;0,02;0,42;0,04
