;"Energy";"Agriculture";"Industry and Construction";"Waste";"Other Sectors"
"1850-01-01 00:00:21";46,91;131,16;19,92;16,3;0
"1851-01-01 00:00:21";52,02;131,79;24,82;16,5;0,23
"1852-01-01 00:00:21";54,43;132,64;26,92;16,72;0,46
"1853-01-01 00:00:21";58,27;133,49;30,32;16,93;0,69
"1854-01-01 00:00:21";61,8;134,59;33,32;17,13;0,91
"1855-01-01 00:00:21";67,4;135,4;38,42;17,34;1,14
"1856-01-01 00:00:21";69,98;136,74;40,22;17,54;1,37
"1857-01-01 00:00:21";71,64;137,8;41,32;17,72;1,6
"1858-01-01 00:00:21";73,02;138,85;41,92;17,92;1,83
"1859-01-01 00:00:21";77,6;140,15;45,62;18,13;2,06
"1860-01-01 00:00:21";80,8;141,16;47,72;18,33;2,29
"1861-01-01 00:00:21";80,03;142,4;45,92;18,5;2,52
"1862-01-01 00:00:21";82,83;143,66;47,72;18,68;2,74
"1863-01-01 00:00:21";91,43;144,92;55,12;18,88;2,97
"1864-01-01 00:00:21";96,58;146,42;59,02;19,05;3,19
"1865-01-01 00:00:21";98,03;148,22;59,12;19,2;3,43
"1866-01-01 00:00:21";99,68;149,72;59,52;19,4;3,67
"1867-01-01 00:00:21";115,28;151,5;73,22;19,58;3,9
"1868-01-01 00:00:21";126,58;153,01;82,82;19,78;4,11
"1869-01-01 00:00:21";139,81;155,03;94,22;19,98;4,35
"1870-01-01 00:00:21";146,71;156,79;99,12;20,18;4,59
"1871-01-01 00:00:21";152,52;159,38;104,02;20,4;4,8
"1872-01-01 00:00:21";178,2;162,91;127,02;20,66;5,04
"1873-01-01 00:00:21";194,19;167,02;140,02;20,93;5,27
"1874-01-01 00:00:21";190,24;171,64;135,02;21,23;5,48
"1875-01-01 00:00:21";194,57;176,63;136,02;21,52;5,72
"1876-01-01 00:00:21";193,64;181,55;134,02;21,84;5,96
"1877-01-01 00:00:21";210,97;186,51;148,02;22,14;6,17
"1878-01-01 00:00:21";209,27;191,39;145,02;22,46;6,41
"1879-01-01 00:00:21";244,23;195,78;176,02;22,74;6,65
"1880-01-01 00:00:21";270,35;199,21;200,02;23,03;6,85
"1881-01-01 00:00:21";284,69;202,32;211,02;23,34;7,09
"1882-01-01 00:00:21";312,75;205,45;237,02;23,61;7,33
"1883-01-01 00:00:21";333,81;208,58;255,02;23,89;7,54
"1884-01-01 00:00:21";349,84;211,4;269,02;24,17;7,78
"1885-01-01 00:00:21";356,15;214,2;274,02;24,47;8,02
"1886-01-01 00:00:21";374,18;217,03;289,02;24,75;8,22
"1887-01-01 00:00:21";397,46;220,11;309,02;25,05;8,46
"1888-01-01 00:00:21";467,76;223,31;376,02;25,33;8,7
"1889-01-01 00:00:21";430,79;226,29;337,02;25,68;8,91
"1890-01-01 00:00:21";518,34;227,99;350,02;26,93;9,15
"1891-01-01 00:00:21";548,14;228,83;349,04;27,69;9,39
"1892-01-01 00:00:21";576,71;229,36;349,05;28,44;9,6
"1893-01-01 00:00:21";585,04;230,17;349,06;29,19;9,83
"1894-01-01 00:00:21";562,15;230,91;348,08;29,95;10,07
"1895-01-01 00:00:21";624,79;231,5;348,11;30,7;10,28
"1896-01-01 00:00:21";633,2;232,3;347,13;31,71;10,52
"1897-01-01 00:00:21";660,87;232,58;347,16;32,46;10,76
"1898-01-01 00:00:21";716,32;233,45;346,18;33,46;11
"1899-01-01 00:00:21";806,76;234,13;346,2;34,47;11,2
"1900-01-01 00:00:21";853,74;234,44;347,22;35,23;11,44
"1901-01-01 00:00:21";924;234,78;347,24;36,23;11,68
"1902-01-01 00:00:21";981,09;235,4;347,25;37,49;11,89
"1903-01-01 00:00:21";1128,75;235,86;347,26;38,5;12,13
"1904-01-01 00:00:21";1130,43;236,08;346,28;39,51;12,37
"1905-01-01 00:00:21";1256,87;236,79;347,29;40,77;12,58
"1906-01-01 00:00:21";1322,31;236,87;347,3;42,03;12,81
"1907-01-01 00:00:21";1508,71;237,63;346,32;43,29;13,05
"1908-01-01 00:00:21";1371,84;237,94;345,33;44,3;13,26
"1909-01-01 00:00:21";1504,87;238,37;346,34;45,56;13,5
"1910-01-01 00:00:21";1627,85;239,09;346,36;46,83;13,74
"1911-01-01 00:00:21";1628,27;240,62;345,37;48,33;13,95
"1912-01-01 00:00:00";1731,18;243,59;344,39;49,59;14,18
"1913-01-01 00:00:00";1844,07;247,65;344,41;50,85;14,42
"1914-01-01 00:00:00";1734,46;252,09;342,44;52,36;14,63
"1915-01-01 00:00:00";1797,32;257,36;340,46;53,62;14,87
"1916-01-01 00:00:00";1967,64;262,5;338,48;55,13;15,11
"1917-01-01 00:00:00";2125,41;267,38;336,5;56,64;15,32
"1918-01-01 00:00:00";2223,18;271,4;331,53;57,9;15,56
"1919-01-01 00:00:00";1955,89;273,52;330,55;59,41;15,79
"1920-01-01 00:00:00";2218,54;275,48;330,58;60,92;16
"1921-01-01 00:00:00";1908,66;274,43;327,85;62,43;16,24
"1922-01-01 00:00:00";1913,75;272,86;327,56;64,19;16,48
"1923-01-01 00:00:00";2388,87;271,24;328,59;65,95;16,69
"1924-01-01 00:00:00";2181,46;267,79;328,86;67,46;16,93
"1925-01-01 00:00:00";2224,05;263,92;327,25;69,22;17,16
"1926-01-01 00:00:00";2376,63;260,45;325,68;70,98;17,37
"1927-01-01 00:00:00";2331,69;256,99;323,04;72,74;17,61
"1928-01-01 00:00:00";2294,22;254,05;320,23;74,25;17,85
"1929-01-01 00:00:00";2441,75;252,46;316,14;76,01;18,06
"1930-01-01 00:00:00";2219,28;251,32;310,74;77,52;18,3
"1931-01-01 00:00:00";1956,69;251,16;299,12;78,78;18,54
"1932-01-01 00:00:00";1736,46;251,61;284,52;80,03;18,77
"1933-01-01 00:00:00";1833,6;252,56;274,09;81,29;18,98
"1934-01-01 00:00:00";1920,65;253,73;266,66;82,3;19,22
"1935-01-01 00:00:00";1987,67;255,12;256,41;83,55;19,46
"1936-01-01 00:00:00";2204,7;257,31;252,2;84,56;19,67
"1937-01-01 00:00:00";2294,28;258,74;245,08;85,81;19,91
"1938-01-01 00:00:00";2011,42;259,84;237,05;87,07;20,14
"1939-01-01 00:00:00";2171,18;261,63;236,14;88,58;20,35
"1940-01-01 00:00:00";2388,6;263,51;236,37;90,35;20,59
"1941-01-01 00:00:00";2561,3;266,86;245,63;92,12;20,83
"1942-01-01 00:00:00";2726,93;274,6;259,02;94,68;21,04
"1943-01-01 00:00:00";2822,85;284,91;267,55;97,26;21,28
"1944-01-01 00:00:00";3021,46;297,47;280,07;100,35;21,52
"1945-01-01 00:00:00";2950,18;310,26;302,84;103,45;21,72
"1946-01-01 00:00:00";2858,87;323,81;334,67;106,81;21,96
"1947-01-01 00:00:00";3097,47;336,43;362,71;109,91;22,2
"1948-01-01 00:00:00";3215,9;347,67;388,85;113,25;22,41
"1949-01-01 00:00:00";2799,02;355,36;412,2;116,33;22,65
"1950-01-01 00:00:00";3131,76;360,42;434,73;119,14;22,89
"1951-01-01 00:00:00";3199,23;363,73;457,9;121,94;23,1
"1952-01-01 00:00:00";3146,64;367,8;482,02;124,73;23,33
"1953-01-01 00:00:00";3191,55;372,6;510,03;127,26;23,57
"1954-01-01 00:00:00";3043,9;377,65;538,78;129,79;23,78
"1955-01-01 00:00:00";3286,25;383,76;568,95;132,32;24,02
"1956-01-01 00:00:00";3428,6;389,7;596,83;135,1;24,26
"1957-01-01 00:00:00";3380,99;395,16;617,69;137,63;24,47
"1958-01-01 00:00:00";3255,87;400,56;639,26;140,67;24,7
"1959-01-01 00:00:00";3323,28;405,49;658,53;143,45;24,94
"1960-01-01 00:00:00";3390,78;409,63;666,9;146,51;25,15
"1961-01-01 00:00:00";3373,37;419,41;667,26;149,82;25,39
"1962-01-01 00:00:00";3473,63;431,73;656,02;153,16;25,63
"1963-01-01 00:00:00";3619,05;443,48;636,87;156,51;25,87
"1964-01-01 00:00:00";3767,06;450,67;610,42;160,13;26,08
"1965-01-01 00:00:00";3917,68;457,93;580,37;163,75;26,31
"1966-01-01 00:00:00";4125,9;460,75;549,42;167,62;26,55
"1967-01-01 00:00:00";4304,11;471,63;519,06;171,49;26,76
"1968-01-01 00:00:00";4459,8;474,08;498,43;175,85;27
"1969-01-01 00:00:00";4670,69;478,5;483,8;180,2;27,24
"1970-01-01 00:00:00";4960,87;484,6;511,96;170,41;26,52
"1971-01-01 00:00:00";4919,56;497,79;501,37;183,96;26,02
"1972-01-01 00:00:00";5130,28;504,46;516,51;185,71;27,39
"1973-01-01 00:00:00";5362,96;522,58;543,92;187,46;28,16
"1974-01-01 00:00:00";5131,36;529,71;541,92;188,96;26,91
"1975-01-01 00:00:00";4907,85;559,32;474,7;189,51;25,93
"1976-01-01 00:00:00";5144,22;548,25;511,07;192,13;26,67
"1977-01-01 00:00:00";5262,5;532,42;521,19;194,07;27,74
"1978-01-01 00:00:00";5427,68;530,19;529,61;195,88;27,71
"1979-01-01 00:00:00";5473,57;528,14;543,1;198,16;27,15
"1980-01-01 00:00:00";5262,38;536,38;499,16;199,88;25,39
"1981-01-01 00:00:00";5044,88;541,63;491,24;201;24,97
"1982-01-01 00:00:00";4806,79;522,65;406,61;201,25;23,84
"1983-01-01 00:00:00";4817,08;521,25;419,22;201,81;23,63
"1984-01-01 00:00:00";4978,28;534,68;450,84;202,62;24,35
"1985-01-01 00:00:00";4976,07;517,4;426,76;202,52;24,44
"1986-01-01 00:00:00";4989,47;500,43;410,61;203,27;24,64
"1987-01-01 00:00:00";5198,46;490,54;423,42;204,17;25,24
"1988-01-01 00:00:00";5418,04;482,55;451,46;204,95;26,31
"1989-01-01 00:00:00";5486,14;488,11;448,88;205,73;26,55
"1990-01-01 00:00:00";5350,84;489,2;449,07;199,23;25,21
"1991-01-01 00:00:00";5300,13;489,81;429,27;201,84;24,44
"1992-01-01 00:00:00";5400,61;494,34;437,97;201,99;24,41
"1993-01-01 00:00:00";5495,49;506,49;440,62;200,17;24,11
"1994-01-01 00:00:00";5600,08;498,43;454,03;200,41;24,26
"1995-01-01 00:00:00";5641,87;511,46;483,32;195,78;23,57
"1996-01-01 00:00:00";5820,86;514,39;484,64;192,43;23,81
"1997-01-01 00:00:00";5886,75;509,32;492,1;183,3;24,35
"1998-01-01 00:00:00";5929,55;531,3;494,5;173,73;24,53
"1999-01-01 00:00:00";6009,96;511,8;482,54;167,52;24,67
"2000-01-01 00:00:00";6174,67;509,92;479,7;164,73;24,73
"2001-01-01 00:00:00";6091,69;516,8;443,2;159,73;23,9
"2002-01-01 00:00:00";6123,59;517,94;439,19;158,07;23,27
"2003-01-01 00:00:00";6169,9;521,42;422,01;160,87;23,42
"2004-01-01 00:00:00";6276,21;538,62;434,24;158,58;23,04
"2005-01-01 00:00:00";6301,62;519,84;434,05;156,55;22,59
"2006-01-01 00:00:00";6212,03;529,45;438,18;154,42;21,81
"2007-01-01 00:00:00";6283,16;546,09;449,19;152,29;21,81
"2008-01-01 00:00:00";6115,78;538,44;419,22;150,26;20
"2009-01-01 00:00:00";5708,69;542,49;366,71;147,39;18,36
"2010-01-01 00:00:00";5889,29;549,5;405,28;148,17;18,92
"2011-01-01 00:00:00";5737,2;535,53;417,67;139,2;18,83
"2012-01-01 00:00:00";5526,42;519,82;404,51;140,35;19,16
"2013-01-01 00:00:00";5684,22;542,98;399,15;136,75;18
"2014-01-01 00:00:00";5724,93;539,89;408,99;136,46;17,49
"2015-01-01 00:00:00";5577,85;567,07;400,53;135,71;17,02
"2016-01-01 00:00:00";5467,25;562,44;389,91;131,35;16,51
