;"Asia and Oceania";"Europe";"Africa";"North America";"Central and South America"
"1850-01-01 00:00:21";192,03;349,3;39,51;227,5;5,8
"1851-01-01 00:00:21";206,05;348,03;40,66;238,7;6,02
"1852-01-01 00:00:21";219,79;356,61;41,7;244,62;6,32
"1853-01-01 00:00:21";233,65;364,11;42,88;253,33;6,59
"1854-01-01 00:00:21";247,08;401,58;43,97;261,57;6,91
"1855-01-01 00:00:21";260,41;403,15;45,16;273,69;7,21
"1856-01-01 00:00:21";273,44;421,27;46,2;280,08;7,56
"1857-01-01 00:00:21";286,29;424,95;47,24;284,49;7,85
"1858-01-01 00:00:21";298,72;430,82;48,14;288,19;8,18
"1859-01-01 00:00:21";311,22;447,07;49,14;298,46;8,56
"1860-01-01 00:00:21";323,45;476,42;50,07;305,45;8,95
"1861-01-01 00:00:21";335,48;498,19;51,01;304,83;9,31
"1862-01-01 00:00:21";346,85;505,6;51,92;311,41;9,75
"1863-01-01 00:00:21";358,16;525,47;52,77;329,47;10,14
"1864-01-01 00:00:21";369,04;554,98;53,6;340,79;10,56
"1865-01-01 00:00:21";380,09;582,68;54,49;344,95;11
"1866-01-01 00:00:21";391,17;598,31;55,32;349,4;11,42
"1867-01-01 00:00:21";402,12;619,16;56,24;381,53;11,91
"1868-01-01 00:00:21";412,23;627,85;57,06;404;12,4
"1869-01-01 00:00:21";422,16;651,59;57,9;431,14;12,93
"1870-01-01 00:00:21";431,85;662,14;58,77;445,98;13,42
"1871-01-01 00:00:21";442,3;694,32;59,82;460,62;14,05
"1872-01-01 00:00:21";452,84;736,49;61,15;513,81;14,64
"1873-01-01 00:00:21";463,93;769,33;62,64;547,69;15,35
"1874-01-01 00:00:21";475,37;735,5;64,38;544,43;16,14
"1875-01-01 00:00:21";486,84;792,72;66,2;556,11;16,89
"1876-01-01 00:00:21";497,35;809,3;67,93;559,25;17,68
"1877-01-01 00:00:21";508,01;814,93;69,69;596,8;18,49
"1878-01-01 00:00:21";518,23;823,77;71,29;598,05;19,3
"1879-01-01 00:00:21";528,18;848,74;72,7;669,71;20,09
"1880-01-01 00:00:21";537,98;924,09;73,87;727,16;20,87
"1881-01-01 00:00:21";544,86;948,27;74,79;756,96;21,57
"1882-01-01 00:00:21";553,42;976,9;75,91;816,1;22,33
"1883-01-01 00:00:21";561,48;1020,91;76,89;860,01;23,05
"1884-01-01 00:00:21";569,41;1022,95;77,88;894,93;23,78
"1885-01-01 00:00:21";576,4;1030,56;78,8;909,72;24,57
"1886-01-01 00:00:21";583,08;1035,4;79,85;947,03;25,65
"1887-01-01 00:00:21";590,51;1068,81;80,69;995,71;26,37
"1888-01-01 00:00:21";598,14;1120,83;81,82;1140,22;27
"1889-01-01 00:00:21";605,23;1164,71;83,12;1066,26;28,65
"1890-01-01 00:00:21";619,59;1187,53;85,27;1172,96;31,08
"1891-01-01 00:00:21";623,33;1233,39;85,98;1205,46;31,31
"1892-01-01 00:00:21";626,27;1237,79;87,08;1236,18;32,66
"1893-01-01 00:00:21";629,78;1224,56;89,29;1247,87;34,07
"1894-01-01 00:00:21";635,28;1313,38;90,96;1225,89;36,01
"1895-01-01 00:00:21";641,52;1347,72;93,05;1290,29;38,28
"1896-01-01 00:00:21";646,47;1403,56;95,11;1301,7;40,37
"1897-01-01 00:00:21";652;1458,33;96,88;1331,78;42,48
"1898-01-01 00:00:21";662;1497,45;99,53;1390,09;45,24
"1899-01-01 00:00:21";666,65;1567,12;100,44;1486,53;48,16
"1900-01-01 00:00:21";679,11;1623,63;99,14;1538,33;50,53
"1901-01-01 00:00:21";691,51;1615,5;102,38;1614,44;55,22
"1902-01-01 00:00:21";698,79;1623,69;106,62;1676,82;61,1
"1903-01-01 00:00:21";709,31;1677,37;111,41;1830,14;67,71
"1904-01-01 00:00:21";722,13;1695,2;115,44;1838,89;75,5
"1905-01-01 00:00:21";731,74;1742,31;120,15;1972,5;83,32
"1906-01-01 00:00:21";761,61;1776,84;125,14;2043,5;93,59
"1907-01-01 00:00:21";775,6;1912,74;130,01;2241,97;100,85
"1908-01-01 00:00:21";796,2;1937,63;134,1;2109,07;108,97
"1909-01-01 00:00:21";800,07;1936,99;139,47;2244,9;112,52
"1910-01-01 00:00:21";809,62;1960,3;144,64;2377,46;119,23
"1911-01-01 00:00:21";834,08;1996,41;147,68;2392,54;123,66
"1912-01-01 00:00:00";835,09;2043,14;153,4;2507,01;127,35
"1913-01-01 00:00:00";855,3;2169,04;160,11;2640,43;131,65
"1914-01-01 00:00:00";877,09;1995,86;166,14;2526;131,4
"1915-01-01 00:00:00";882,46;1925,32;172,54;2592,49;133,01
"1916-01-01 00:00:00";901,08;1989,23;182,34;2785,68;135,07
"1917-01-01 00:00:00";925,8;1972,03;190,89;2964,77;135,69
"1918-01-01 00:00:00";948,69;1890,16;196,89;3072,01;138,72
"1919-01-01 00:00:00";973,27;1694,07;203,69;2805,43;142,42
"1920-01-01 00:00:00";976,41;1890,52;211,41;3107,71;145,56
