;"Oil";"Coal";"Gas";"Nuclear";"Hydroelectricity";"Biomass and Waste";"Wind";"Solar, Tide, Wave, Fuel Cell";"Fuel Ethanol";"Geothermal";"Biodiesel"
"1980-01-01 00:00:00";99,299896;365,99594;14,66037;0;14,155018;0;0;0;0;0;
"1981-01-01 00:00:00";98,232132;364,80878;13,063696;0;15,930475;0;0;0;0;0;
"1982-01-01 00:00:00";100,20577;384,68289;11,060596;0;18,095074;0;0;0;0;0;
"1983-01-01 00:00:00";102,46466;407,87292;12,512117;0;21,013636;0;0;0;0;0;
"1984-01-01 00:00:00";108,23249;447,4845;12,71533;0;21,11092;0;0;0;0;0;
"1985-01-01 00:00:00";109,99734;466,82852;13,266909;0;22,472916;0;0;0;0;0;
"1986-01-01 00:00:00";115,60035;480,65732;14,050731;0;22,983664;0;0;0;0;0;
"1987-01-01 00:00:00";123,62993;508,1438;14,341035;0;24,36998;0;0;0;0;0;
"1988-01-01 00:00:00";128,6028;543,54926;14,602308;0;26,534578;0;0;0;0;0;
"1989-01-01 00:00:00";123,86493;537,64728;14,66037;0;28,796463;0;0;0;0;0;
"1990-01-01 00:00:00";128,826;612,37024;14,35179;0;30,742168;0;0,00049134012;0,00049134012;0;0;
"1991-01-01 00:00:00";142,62135;544,58453;14,843276;0;30,425991;0;0,0022110306;0,00049134012;0;0;
"1992-01-01 00:00:00";157,81352;563,43915;15,002192;0,13027959;31,982557;0;0,003439381;0,00073701021;0;0;
"1993-01-01 00:00:00";167,31392;601,97137;15,704042;0,64358115;36,652252;0;0,0054047415;0,00098268024;0;0;
"1994-01-01 00:00:00";177,71251;647,32855;16,545513;3,5175486;40,622036;0,08192414;0,0098268026;0,0012283503;0;0;
"1995-01-01 00:00:00";198,83113;703,46332;17,04311;3,2257223;45,424885;0,69193655;0,015722884;0,0017196905;0;0;
"1996-01-01 00:00:00";189,13501;724,88251;18,933395;3,5488157;45,461491;0,33844465;0,024075666;0,0022110306;0;0;
"1997-01-01 00:00:00";213,47585;684,41455;20,437262;2,9573464;47,321949;0,62243241;0,050608035;0,0027023708;0;0;
"1998-01-01 00:00:00";226,44707;683,42664;21,239908;3,5071263;49,688492;0,5646317;0,090897925;0,003439381;0;0;
"1999-01-01 00:00:00";243,45439;712,75909;22,92956;3,6710181;51,787495;0,57418555;0,12136101;0,0041763913;0;0;
"2000-01-01 00:00:00";249,27596;765,98016;23,783655;4,1436725;54,094093;0,57824594;0,15108709;0,0049134013;0;0;0
"2001-01-01 00:00:00";269,0853;807,60266;25,677822;4,3245006;67,47525;0,58230633;0,18400688;0,0058960817;0;0;0
"2002-01-01 00:00:00";298,96207;866,99817;27,972231;6,5572319;70,039062;0,58039552;0,21446997;0,0098268026;0,14651756;0;0
"2003-01-01 00:00:00";353,01862;1037,3428;30,137259;10,855155;68,994965;0,57848477;0,2552512;0,015477214;0,40438846;0;0
"2004-01-01 00:00:00";360,07339;1197,6724;35,589851;12,492769;85,986732;0,57657397;0,32723254;0,016705565;0,50402039;0;0,0042848028
"2005-01-01 00:00:00";386,62119;1373,876;43,607712;13,114464;96,559883;0,57466322;0,49821889;0,018179584;0,60658264;0,028252058;0,10283527
"2006-01-01 00:00:00";408,44128;1527,7837;52,541477;13,49957;105,98895;0,57227474;0,95025182;0,020636285;0,82049829;0,030954428;0,20138574
"2007-01-01 00:00:00";415,13937;1639,3911;65,630302;15,450897;118,0226;0,57012516;1,4027761;0,025795357;0,84101075;0,028497728;0,26008752
"2008-01-01 00:00:00";437,47583;1696,9418;71,837776;17,021027;142,32527;3,5146174;3,6359169;0,037341852;1,0080408;0,035376489;0,39420184
"2009-01-01 00:00:00";480,23398;1834,6704;82,372505;17,122124;149,73198;4,9441099;6,6085248;0,096302666;1,237173;0,03758752;0,43619293
"2010-01-01 00:00:00";516,72131;1970,1826;99,325058;18,489799;173,01781;8,0880384;10,96229;0,17368874;1,2472724;0,03979855;0,4194822
"2011-01-01 00:00:00";543,74829;2195,72;121,86238;21,514109;167,34184;9,1403933;17,278221;0,64291859;1,2942344;0,030708758;0,5450269
"2012-01-01 00:00:00";567,62744;2324,2349;133,7328;24,141327;209,84302;9,7847996;23,578922;1,5639356;1,4372426;0,030708758;0,70742095
"2013-01-01 00:00:00";594,2981;2395,9221;151,81906;28,846504;221,22958;11,775819;34,688614;3,8042009;1,4805678;0,030708758;1,4576899
"2014-01-01 00:00:00";629,22302;2357,0952;168,61153;32,259308;255,65065;13,699245;38,344185;7,1829014;1,5022814;0,030708758;1,5742365
"2015-01-01 00:00:00";648,05011;2290,7886;177,59686;42,002659;271,05392;15,22141;45,638126;11,010196;1,7951633;0,030708758;0,41219804
"2016-01-01 00:00:00";651,95612;2190,1101;192,75623;51,546158;282,75348;18,179277;58,241001;18,497972;2,0274489;0,030708758;0,32478806
