;"Oil";"Coal";"Gas";"Nuclear";"Hydroelectricity";"Biomass and Waste";"Wind";"Solar, Tide, Wave, Fuel Cell";"Fuel Ethanol";"Geothermal";"Biodiesel"
"1980-01-01 00:00:00";121,20161;35,03413;23,456087;16,525703;16,767719;0,15572752;0;0,11546493;0;0;
"1981-01-01 00:00:00";107,68017;31,372465;24,285686;25,856588;17,284855;0,16671443;0;0,13020514;0;0;
"1982-01-01 00:00:00";100,05517;33,221279;23,482342;26,740404;16,852966;0,25652048;0;0,14003193;0;0;
"1983-01-01 00:00:00";97,448753;29,389465;24,566784;35,432919;16,586414;0,16384828;0;0,14003193;0;0;
"1984-01-01 00:00:00";92,167885;27,958414;26,017019;47,023113;15,725341;0,21137862;0;0,14003193;0;0;
"1985-01-01 00:00:00";90,805397;26,718954;26,82049;55,028011;14,80113;0,17961212;0;0,14003193;0;0;
"1986-01-01 00:00:00";91,269142;22,771631;27,108727;62,419033;14,974327;0,2013471;0;0,13757524;0;0;
"1987-01-01 00:00:00";92,285896;20,410984;27,489374;64,94828;16,858618;0,20970669;0;0,13266183;0;0;
"1988-01-01 00:00:00";93,323608;19,821688;26,547564;67,82016;18,167793;0,20254132;0;0,13266183;0;0;
"1989-01-01 00:00:00";95,379555;21,621395;27,00239;75,227341;11,237931;0,36041847;0;0,13020514;0;0;
"1990-01-01 00:00:00";94,696548;21,187031;27,434568;77,744858;12,970397;0,3897965;0;0,14027761;0;0;
"1991-01-01 00:00:00";100,68624;22,712839;31,071402;82,016991;13,825574;0,43302763;0;0,14347132;0;0;
"1992-01-01 00:00:00";100,46259;20,376402;31,431887;83,775711;16,782459;0,44377568;0;0,14224297;0,0029303511;0;
"1993-01-01 00:00:00";97,41037;16,062496;31,671392;91,138123;15,796585;0,415353;0,00049134012;0,13683823;0,017582105;0;
"1994-01-01 00:00:00";96,73188;15,558274;31,515074;89,106544;19,176268;0,4600172;0,0012283503;0,13831225;0,023442809;0;
"1995-01-01 00:00:00";99,617584;16,669777;32,157524;93,376457;17,736397;0,52378905;0,0012283503;0,13978627;0,023442809;0;
"1996-01-01 00:00:00";101,33897;17,274292;35,503262;98,35405;15,828523;0,57299131;0,0017196905;0,13462719;0,038094565;0;
"1997-01-01 00:00:00";102,16595;15,346625;35,216236;97,894424;15,51431;0,64894432;0,0027023708;0,14052328;0,055676669;0;
"1998-01-01 00:00:00";106,37264;18,011604;36,061157;96,039764;15,10355;0,6453616;0,0049134013;0,14543667;0,064467721;0;
"1999-01-01 00:00:00";105,90916;16,435995;37,872257;97,587746;17,646973;0,75475305;0,0090897921;0,14297998;0,058607019;0;
"2000-01-01 00:00:00";98,257095;15,65649;39,7691;102,76557;16,328707;0,85053027;0,018916596;0,14199729;0,058607019;0;0,26051602
"2001-01-01 00:00:00";100,56031;13,792459;41,698338;104,22836;18,152069;1,0308589;0,032182779;0,13487287;0,052746318;0;0,26308689
"2002-01-01 00:00:00";97,291748;13,639601;42,7421;108,11172;14,738238;1,0939142;0,065348238;0,13339885;0,058607019;0;0,26137295
"2003-01-01 00:00:00";97,875183;14,003415;41,953243;109,17872;14,388159;1,1641349;0,095319986;0,13413586;0,046885617;0;0,27294195
"2004-01-01 00:00:00";98,406364;13,573893;44,532413;110,95364;14,562339;1,201156;0,14592803;0,12946813;0,049815968;0;0,27379888
"2005-01-01 00:00:00";97,362534;14,881136;47,449738;112,3479;12,520575;1,1982899;0,23633461;0,120624;0,070328422;0;0,46747199
"2006-01-01 00:00:00";97,32605;13,806983;48,545349;111,99354;13,693895;1,182526;0,53605211;0,11718462;0,1435872;0;0,5403136
"2007-01-01 00:00:00";96,463837;14,356855;45,158131;109,46846;14,010318;1,3220121;0,99742049;0,19334234;0,2637316;0;1,1127633
"2008-01-01 00:00:00";94,417084;13,413426;47,343822;109,38274;15,481391;1,393427;1,397617;0,18376121;0,41024914;0,0012283503;1,7961893
"2009-01-01 00:00:00";90,387695;10,818997;45,282455;102,07483;13,862671;1,4689022;1,9434959;0,21201326;0,39545485;0,0024567007;1,977008
"2010-01-01 00:00:00";88,3246;11,417978;46,076885;106,85166;15,218032;1,5319576;2,4431889;0,30217418;0,39165205;0,0024567007;1,9465859
"2011-01-01 00:00:00";86,466599;9,6473198;44,581394;110,34915;10,868935;1,7108531;2,9608157;0,75862914;0,38658196;0,0024567007;1,9568694
"2012-01-01 00:00:00";84,385101;11,258204;41,542973;106,16171;14,235844;1,7261393;3,6636777;1,274045;0,42427057;0;2,174109
"2013-01-01 00:00:00";82,808479;11,9803;43,379147;105,18774;17,160053;1,707987;3,9388282;1,4580518;0,40853667;0;2,1745374
"2014-01-01 00:00:00";81,476959;9,0134668;35,618629;108,91399;15,24653;1,7875227;4,2375631;1,7351676;0,41747817;0;2,4033458
"2015-01-01 00:00:00";81,37635;8,7076321;37,541973;109,18002;13,211645;1,9616413;5,220243;2,0764034;0,42403382;0;2,422199
"2016-01-01 00:00:00";79,537537;8,1070147;41,110741;100,69387;14,569955;2,2809782;5,2573395;2,2675347;0,42490089;0,00098268024;2,5160363
