;"Oil";"Coal";"Gas";"Nuclear";"Hydroelectricity";"Biomass and Waste";"Wind";"Solar, Tide, Wave, Fuel Cell";"Fuel Ethanol";"Geothermal";"Biodiesel"
"1980-01-01 00:00:00";1,5133154;0;0;0;0,33042625;0;0;0;0;0;
"1981-01-01 00:00:00";1,5889813;0;0;0;0,42402652;0;0;0;0;0;
"1982-01-01 00:00:00";1,4628716;0;0;0;0,42525488;0;0;0;0;0;
"1983-01-01 00:00:00";1,5889813;0;0;0;0,26212996;0;0;0;0;0;
"1984-01-01 00:00:00";1,5637593;0;0;0;0,090652257;0;0;0;0;0;
"1985-01-01 00:00:00";1,5889813;0;0;0;0,33018056;0;0;0;0;0;
"1986-01-01 00:00:00";1,6737175;0;0;0;0,28964502;0;0;0;0;0;
"1987-01-01 00:00:00";1,8588797;0;0;0;0,29873481;0;0;0;0;0;
"1988-01-01 00:00:00";1,9409877;0;0;0;0,30143717;0;0;0;0;0;
"1989-01-01 00:00:00";1,9386598;0;0;0;0,30708757;0;0;0;0;0;
"1990-01-01 00:00:00";1,6107043;0;0;0;0,32158211;0;0;0;0;0;
"1991-01-01 00:00:00";1,3253173;0;0;0;0,30512223;0;0;0;0;0;
"1992-01-01 00:00:00";1,3335112;0;0;0;0,25500554;0;0;0;0;0;
"1993-01-01 00:00:00";1,5209144;0;0;0;0,26704335;0;0;0;0;0;
"1994-01-01 00:00:00";1,5583433;0;0;0;0,28546861;0;0;0;0;0;
"1995-01-01 00:00:00";1,530694;0;0,03723437;0;0,43385333;0;0;0;0;0;
"1996-01-01 00:00:00";1,6000222;0;0,33572727;0;0,43336201;0;0;0;0;0;
"1997-01-01 00:00:00";1,4503734;0;0,55954546;0;0,45694631;0;0;0;0;0;
"1998-01-01 00:00:00";1,3877846;0;0,74606055;0;0,33484828;0;0;0;0;0;
"1999-01-01 00:00:00";1,5589619;0;1,2496514;0;0,42648324;0;0;0;0;0;
"2000-01-01 00:00:00";1,5617278;0;1,2589772;0;0,42893994;0;0;0;0;0;0
"2001-01-01 00:00:00";1,5101277;0;1,2589772;0;0,43778405;0;0;0;0;0;0
"2002-01-01 00:00:00";1,5469437;0;1,1947479;0;0,42058715;0;0;0;0;0;0
"2003-01-01 00:00:00";1,2025934;0;1,1947479;0;0,44564551;0;0;0;0;0;0
"2004-01-01 00:00:00";1,4627949;0;1,1590838;0;0,42525488;0,02555651;0;0;0;0;0
"2005-01-01 00:00:00";1,8656977;0;1,1590838;0;0,34958851;0,026273049;0;0,000024567007;0;0;0
"2006-01-01 00:00:00";1,3440264;0;1,1590838;0;0,36727676;0,02675074;0;0,000049134014;0;0;0
"2007-01-01 00:00:00";1,267339;0;1,3374045;0;0,43704703;0,027467279;0;0,000049134014;0;0;0
"2008-01-01 00:00:00";1,4382052;0;1,4265647;0;0,46161404;0,028183816;0;0,000049134014;0;0;0
"2009-01-01 00:00:00";1,2978487;0;1,4265647;0;0,51836383;0,017196905;0;0,00012283503;0;0;0
"2010-01-01 00:00:00";1,4345855;0;1,4756029;0;0,39356345;0,016480368;0;0,00049134012;0;0;0
"2011-01-01 00:00:00";1,2128544;0;1,455096;0;0,43139663;0,015286137;0;0,00049134012;0;0;0
"2012-01-01 00:00:00";1,7565463;0;1,5870533;0;0,43508169;0,015763829;0;0,00049134012;0;0;0
"2013-01-01 00:00:00";1,9826952;0;1,8224365;0;0,3906154;0,016241521;0;0,00049134012;0;0;0
"2014-01-01 00:00:00";2,1322801;0;1,8384854;0;0,4652991;0,016719213;0;0,00073701021;0;0;0
"2015-01-01 00:00:00";2,3962581;0;1,8393769;0;0,32870653;0,02507882;0;0,00098268024;0;0;0
"2016-01-01 00:00:00";2,5765715;0;2,0596011;0;0,37194449;0,041320339;0;0,0012283503;0;0;0
