;"Oil";"Coal";"Gas";"Nuclear";"Hydroelectricity";"Biomass and Waste";"Wind";"Solar, Tide, Wave, Fuel Cell";"Fuel Ethanol";"Geothermal";"Biodiesel"
"1980-01-01 00:00:00";867,79529;388,99277;510,3772;65,430573;68,586685;0,1034592;0;0;;1,2463037;
"1981-01-01 00:00:00";805,5694;401,21832;498,06516;71,047707;64,818733;0,087854445;0;0;0,15823896;1,3969201;
"1982-01-01 00:00:00";762,99738;386,43954;462,97925;73,679092;76,740944;0,076650187;0;0;0,43955266;1,189747;
"1983-01-01 00:00:00";758,86346;400,88858;434,34262;76,520233;82,370926;0,090429924;0,00065544771;0;0,7911948;1,4924705;
"1984-01-01 00:00:00";784,31427;430,55377;463,9223;85,368042;79,673592;0,21160576;0,0015943988;0,0012892765;0,96701586;1,9016101;
"1985-01-01 00:00:00";781,3017;440,83939;446,51587;99,974205;69,846588;0,3302933;0,0014155509;0,0026114727;1,1721405;2,2909298;
"1986-01-01 00:00:00";813,62567;435,34061;418,46613;107,88139;72,228279;0,28106025;0,0010291119;0,0034472423;1,3479614;2,5323558;
"1987-01-01 00:00:00";830,63867;454,20755;444,90973;118,62477;62,119171;0,35278231;0,00086991768;0,0025787987;1,553086;2,6472082;
"1988-01-01 00:00:00";864,94226;475,34015;465,30396;137,30765;55,5462;0,39988631;0,00021397862;0,0022341236;1,5823896;2,530421;
"1989-01-01 00:00:00";864,62714;480,97601;494,39023;137,9283;66,816589;8,6938839;0,51886576;0,068516642;1,611693;3,5851722;
"1990-01-01 00:00:00";847,83624;483,57053;494,4321;150,30667;71,948372;10,934907;0,68507552;0,098095074;1,435872;3,7917383;
"1991-01-01 00:00:00";830,29382;479,00635;505,26974;159,60942;70,997223;11,796623;0,72496033;0,12473333;1,6703001;3,9224772;
"1992-01-01 00:00:00";847,67151;482,30539;522,43762;161,22775;62,176147;12,980008;0,70937794;0,10789436;1,8754246;3,9646142;
"1993-01-01 00:00:00";851,08734;500,28076;535,43622;159,01691;68,908981;13,364965;0,73844171;0,12426287;2,1977632;4,1244478;
"1994-01-01 00:00:00";873,17603;502,15491;548,02368;166,87251;63,905106;13,629971;0,84685147;0,13147819;2,4614949;3,8165958;
"1995-01-01 00:00:00";870,62378;506,67624;571,80975;175,46106;76,362305;13,596554;0,77736223;0,13569291;2,637316;3,2866375;
"1996-01-01 00:00:00";901,40338;529,70856;582,2392;175,80682;85,287323;13,78419;0,79451394;0,14371453;1,9047282;3,5201287;
"1997-01-01 00:00:00";913,93536;540,89478;585,72156;163,79895;87,569901;14,010106;0,8077718;0,14312468;2,4028878;3,6177623;
"1998-01-01 00:00:00";930,66223;546,19946;575,8222;175,53923;79,433891;14,040871;0,74332291;0,14329074;2,6666195;3,6295094;
"1999-01-01 00:00:00";956,53082;545,36194;577,81476;189,75325;78,500435;14,238298;1,1025667;0,14471735;2,75453;3,6425533;
"2000-01-01 00:00:00";967,66156;569,49908;600,88654;196,43373;67,699936;14,504199;1,3740968;0,14740007;3,1647792;3,4622672;0
"2001-01-01 00:00:00";965,94373;552,71979;574,36774;200,32466;53,300835;14,725901;1,6551605;0,1650065;3,3406003;3,3756297;0,028708179
"2002-01-01 00:00:00";967,6333;552,46051;592,96948;203,25282;64,937683;16,058962;2,5437367;0,17384179;3,9559739;3,560081;0,04584739
"2003-01-01 00:00:00";983,94995;562,97668;575,8327;198,99763;67,757355;16,094772;2,7484255;0,17501806;5,3918457;3,5436018;0,037706263
"2004-01-01 00:00:00";1021,8605;566,64044;578,1637;205,45819;65,942101;16,186552;3,4746938;0,19559562;6,7691112;3,6386132;0,074984051
"2005-01-01 00:00:00";1024,9855;574,97247;569,14191;203,75362;66,409843;16,026051;4,3755188;0,21664758;7,7654305;3,6093218;0,25366032
"2006-01-01 00:00:00";1016,4853;566,16046;560,90375;205,11713;71,059189;16,202116;6,532155;0,24353151;10,490657;3,5789287;0,72927344
"2007-01-01 00:00:00";1010,7549;573,78534;596,82031;210,12141;60,80579;16,186518;8,463316;0,31803194;13,157276;3,5959251;0,98850399
"2008-01-01 00:00:00";950,89734;564,65448;601,36517;210,06488;62,604443;15,963809;13,601056;0,48191354;18,461212;3,6457381;0,84624857
"2009-01-01 00:00:00";905,39093;496,64987;590,59503;208,14899;67,177277;15,8644;18,151611;0,58127379;20,88401;3,6871779;0,89938009
"2010-01-01 00:00:00";922,51855;525,4726;619,82257;210,26291;63,924107;16,467161;23,253223;0,86989439;23,941956;3,738905;0,72713101
"2011-01-01 00:00:00";908,46014;495,80722;629,40149;205,8949;78,45594;16,916124;29,523792;1,3534497;24,140749;3,7626994;2,4770446
"2012-01-01 00:00:00";888,19891;438,31256;658,00421;200,45624;67,863953;17,055801;34,595676;2,519527;25,798344;3,8232222;2,5061812
"2013-01-01 00:00:00";905,85614;454,97827;676,07703;205,58534;65,978477;17,781013;41,2332;4,2174387;26,313242;3,8753653;3,9938645
"2014-01-01 00:00:00";912,81427;453,94418;690,64771;207,70891;63,718616;18,498791;44,627266;7,1056848;26,754658;3,9004891;3,9600148
"2015-01-01 00:00:00";932,39435;392,17569;711,03363;207,71204;61,191521;18,548697;46,85384;9,589036;27,437578;3,9104717;4,1763973
"2016-01-01 00:00:00";945,45886;358,8064;716,31152;209,93095;65,793427;18,275221;55,765278;13,479054;26,94788;3,8879271;5,8127632
