;"Oil";"Coal";"Gas";"Nuclear";"Hydroelectricity";"Biomass and Waste";"Wind";"Solar, Tide, Wave, Fuel Cell";"Fuel Ethanol";"Geothermal";"Biodiesel";"Peat"
"1900-01-01 00:00:21";0;0;0;;0;;;;;;;
"1901-01-01 00:00:21";0;0;0;;0;;;;;;;
"1902-01-01 00:00:21";0;0,02499;0;;0;;;;;;;
"1903-01-01 00:00:21";0;0,5177928;0;;0;;;;;;;
"1904-01-01 00:00:21";0;0,5512794;0;;0;;;;;;;
"1905-01-01 00:00:21";0;0,6062574;0;;0;;;;;;;
"1906-01-01 00:00:21";0;4,5146934;0;;0;;;;;;;
"1907-01-01 00:00:21";0;4,443222;0;;0;;;;;;;
"1908-01-01 00:00:21";0;5,9976;0;;0;;;;;;;
"1909-01-01 00:00:21";0;5,4978;0;;0;;;;;;;
"1910-01-01 00:00:21";0;4,9470204;0;;0;;;;;;;
"1911-01-01 00:00:21";0;7,34706;0;;0;;;;;;;
"1912-01-01 00:00:00";0;2,5819668;0;;0;;;;;;;
"1913-01-01 00:00:00";0;2,8378644;0;;0;;;;;;;
"1914-01-01 00:00:00";0;3,9854052;0;;0;;;;;;;
"1915-01-01 00:00:00";0;4,2448014;0;;0;;;;;;;
"1916-01-01 00:00:00";0;4,7396034;0;;0;;;;;;;
"1917-01-01 00:00:00";0;5,2374042;0;;0;;;;;;;
"1918-01-01 00:00:00";0;5,5522782;0;;0;;;;;;;
"1919-01-01 00:00:00";0;6,399939;0;;0;;;;;;;
"1920-01-01 00:00:00";0;7,0626738;0;;0;;;;;;;
"1921-01-01 00:00:00";0;6,67233;0;;0;;;;;;;
"1922-01-01 00:00:00";0;7,027188;0;;0;;;;;;;
"1923-01-01 00:00:00";0;8,4831054;0;;0;;;;;;;
"1924-01-01 00:00:00";0;9,258795;0;;0;;;;;;;
"1925-01-01 00:00:00";0;8,7654924;0;;0;;;;;;;
"1926-01-01 00:00:00";0,002;7,8053766;0;;0;;;;;;;
"1927-01-01 00:00:00";0,003;8,8434612;0;;0;;;;;;;
"1928-01-01 00:00:00";0,003;8,986404;0;;0;;;;;;;
"1929-01-01 00:00:00";0,004;9,4232292;0;;0;;;;;;;
"1930-01-01 00:00:00";0,05;9,9420216;0;;0;;;;;;;
"1931-01-01 00:00:00";0,061;10,5422814;0;;0;;;;;;;
"1932-01-01 00:00:00";0,07;10,1024574;0;;0;;;;;;;
"1933-01-01 00:00:00";0,087;11,033085;0;;0,0135118535806412;;;;;;;
"1934-01-01 00:00:00";0,092;12,8953398;0;;0,00122835032551284;;;;;;;
"1935-01-01 00:00:00";0,141;15,0404814;0;;0,00122835032551284;;;;;;;
"1936-01-01 00:00:00";0,166;16,8902412;0;;0,0014740203906154;;;;;;;
"1937-01-01 00:00:00";0,194;15,6872226;0;;0;;;;;;;
"1938-01-01 00:00:00";0,272;14,3687502;0;;0;;;;;;;
"1939-01-01 00:00:00";0,384;17,3370624;0;;0;;;;;;;
"1940-01-01 00:00:00";0,585;22,1581332;0;;0;;;;;;;
"1941-01-01 00:00:00";0,663;27,7004154;0;;0;;;;;;;
"1942-01-01 00:00:00";0,817;29,1753252;0;;0;;;;;;;
"1943-01-01 00:00:00";0,311;25,2194082;0;;0;;;;;;;
"1944-01-01 00:00:00";0,201;25,5032946;0;;0;;;;;;;
"1945-01-01 00:00:00";0,175;13,137243;0;;0;;;;;;;
"1946-01-01 00:00:00";0,07;8,1677316;0;;0;;;;;;;
"1947-01-01 00:00:00";0,052;8,7654924;0;;0;;;;;;;
"1948-01-01 00:00:00";0,073;6,207516;0;;0;;;;;;;
"1949-01-01 00:00:00";0,118;15,4938;0;;0;;;;;;;
"1950-01-01 00:00:00";0,202;21,451416;0;;0,208819555337182;;;;;;;
"1951-01-01 00:00:00";0,306;26,534382;0;;0,245670065102567;;;;;;;
"1952-01-01 00:00:00";0,436;33,231702;0;;0,309544282029235;;;;;;;
"1953-01-01 00:00:00";0,622;34,826064;0;;0,378331900257954;;;;;;;
"1954-01-01 00:00:00";0,789;41,813268;0;;0,535560741923597;;;;;;;
"1955-01-01 00:00:00";0,966;49,13034;0,113908666666667;;0,579781353642059;;;;;;;
"1956-01-01 00:00:00";1,163;55,157928;0,238172666666667;;0,850018425254883;;;;;;;
"1957-01-01 00:00:00";1,46;65,338854;0,341726;;0,859845227858985;;;;;;;
"1958-01-01 00:00:00";2,264;134,946;0,409035666666667;;1,22835032551284;;;;;;;
"1959-01-01 00:00:00";3,7;173,83044;0,476345333333333;;2,08819555337182;;;;;;;
"1960-01-01 00:00:00";5,5;209,916;0,543655;;2,92347377472055;;;;;;;
"1961-01-01 00:00:00";6,2;124,95;0,610964666666666;;2,94804078123081;;;;;;;
"1962-01-01 00:00:00";6,8;124,95;0,678274333333333;;2,94804078123081;;;;;;;
"1963-01-01 00:00:00";7,5;124,95;0,745584;;3,68505097653851;;;;;;;
"1964-01-01 00:00:00";8,5;144,942;0,812893666666667;;4,91340130205134;;;;;;;
"1965-01-01 00:00:00";10;149,4402;0,880203333333333;;6,14175162756418;;;;;;;
"1966-01-01 00:00:00";13;163,4346;0,947513;;7,37010195307702;;;;;;;
"1967-01-01 00:00:00";11;113,4546;1,01482266666667;;6,14175162756418;;;;;;;
