;"Oil";"Coal";"Gas";"Nuclear";"Hydroelectricity";"Biomass and Waste";"Wind";"Solar, Tide, Wave, Fuel Cell";"Fuel Ethanol";"Geothermal";"Biodiesel";"Peat"
"1900-01-01 00:00:21";0;23,19226;0;0;0;;;;;;;0,0336
"1901-01-01 00:00:21";0;22,43444;0;0;0;;;;;;;0,0413
"1902-01-01 00:00:21";0;20,82094;0;0;0;;;;;;;0,0385
"1903-01-01 00:00:21";0;24,24128;0;0;0;;;;;;;0,035
"1904-01-01 00:00:21";0;23,73112;0;0;0;;;;;;;0,03325
"1905-01-01 00:00:21";0;24,95038;0;0;0;;;;;;;0,03465
"1906-01-01 00:00:21";0;23,73028;0;0;0;;;;;;;0,0672
"1907-01-01 00:00:21";0;25,5136;0;0;0;;;;;;;0,03185
"1908-01-01 00:00:21";0;25,95894;0;0;0;;;;;;;0,028
"1909-01-01 00:00:21";0;26,285;0;0;0;;;;;;;0,06265
"1910-01-01 00:00:21";0;26,6448;0;0;0;;;;;;;0,0168
"1911-01-01 00:00:21";0;27,26248;0;0;0;;;;;;;0,02065
"1912-01-01 00:00:00";0;28,59122;0;0;0;;;;;;;0,01855
"1913-01-01 00:00:00";0,055;28,36876;0;0;0;;;;;;;0,01575
"1914-01-01 00:00:00";0;19,07654;0;0;0;;;;;;;0,01295
"1915-01-01 00:00:00";0;13,48284;0;0;0;;;;;;;0,007
"1916-01-01 00:00:00";0;14,70196;0;0;0;;;;;;;0,01085
"1917-01-01 00:00:00";0;19,91626;0;0;0;;;;;;;0,0182
"1918-01-01 00:00:00";0,052;18,01226;0;0;0;;;;;;;0,04515
"1919-01-01 00:00:00";0,048;15,4581;0;0;0;;;;;;;0,02485
"1920-01-01 00:00:00";0,055;17,41166;0;0;0;;;;;;;0,0273
"1921-01-01 00:00:00";0,056;20,06228;0;0;0;;;;;;;0,01645
"1922-01-01 00:00:00";0,07;22,12294;0;0;0;;;;;;;0,00945
"1923-01-01 00:00:00";0,07;26,74364;0;0;0,836506571674241;;;;;;;0,0105
"1924-01-01 00:00:00";0,074;31,21734;0;0;0,884412234369242;;;;;;;0
"1925-01-01 00:00:00";0,065;33,38496;0;0;0,982680260410269;;;;;;;0,00875
"1926-01-01 00:00:00";0,067;36,42002;0;0;1,28608279081194;;;;;;;0,0077
"1927-01-01 00:00:00";0,073;36,70884;0;0;1,36961061294681;;;;;;;0,00735
"1928-01-01 00:00:00";0,074;36,40616;0;0;1,49735904680015;;;;;;;0,00945
"1929-01-01 00:00:00";0,075;38,14874;0;0;1,59562707284117;;;;;;;0,0126
"1930-01-01 00:00:00";0,076;38,21552;0;0;1,85358064119887;;;;;;;0,00735
"1931-01-01 00:00:00";0,074;35,44128;0;0;1,57597346763297;;;;;;;0,00665
"1932-01-01 00:00:00";0,075;32,81152;0;0;1,58334356958605;;;;;;;0,00735
"1933-01-01 00:00:00";0,079;33,27996;0;0;1,79216312492323;;;;;;;0,0084
"1934-01-01 00:00:00";0,078;33,7729;0;0;1,94939196658887;;;;;;;0,0091
"1935-01-01 00:00:00";0,076;32,72892;0;0;2,21471563689964;;;;;;;0,00665
"1936-01-01 00:00:00";0,07;32,05496;0;0;2,4112516889817;;;;;;;0,00595
"1937-01-01 00:00:00";0,07;31,47018;0;0;2,67166195799042;;;;;;;0,00735
"1938-01-01 00:00:00";0,072;32,99716;0;0;2,52941899029603;;;;;;;0,00945
"1939-01-01 00:00:00";0,07;34,86574;0;0;2,99078737255865;;;;;;;0,00525
"1940-01-01 00:00:00";0,069;28,16072;0;0;2,90701388035868;;;;;;;0,0084
"1941-01-01 00:00:00";0,058;30,13766;0;0;3,01560004913401;;;;;;;0,0294
"1942-01-01 00:00:00";0,065;30,13024;0;0;2,5743766122098;;;;;;;0,0735
"1943-01-01 00:00:00";0,068;29,04202;0;0;2,76747328338042;;;;;;;0,0665
"1944-01-01 00:00:00";0,059;18,22982;0;0;2,24321336445154;;;;;;;0,03955
"1945-01-01 00:00:00";0,029;24,03478;0;0;2,49821889202801;;;;;;;0,0336
"1946-01-01 00:00:00";0,052;33,90478;0,101212222222222;0;2,75224173934406;;;;;;;0,02975
"1947-01-01 00:00:00";0,05;32,54006;0,266832222222222;0;3,15366662572166;;;;;;;0,0203
"1948-01-01 00:00:00";0,052;31,07524;0,329399777777778;0;3,60373418498956;;;;;;;0,01295
"1949-01-01 00:00:00";0,058;36,6142;0,449014222222222;0;2,69770298489129;;;;;;;0,01575
"1950-01-01 00:00:00";0,128;36,29822;0,483978444444444;0;1,49170863530279;;;;;;;0,0035
"1951-01-01 00:00:00";0,291;37,92166;0,552066666666667;0;5,16226507800025;;;;;;;0,0245
"1952-01-01 00:00:00";0,35;39,5913;0,534584555555556;0;5,46345657781599;;;;;;;0,028
"1953-01-01 00:00:00";0,367;37,62976;0,482138222222222;0;5,16914383982312;;;;;;;0,007
"1954-01-01 00:00:00";0,505;38,8857;0,542865555555556;0;5,95946443925808;;;;;;;0,0175
"1955-01-01 00:00:00";0,878;39,59676;0,583350444444444;0;6,27416779265447;;;;;;;0,0105
"1956-01-01 00:00:00";1,264;39,53614;0,712166;0;6,34885149244565;;;;;;;0,0175
"1957-01-01 00:00:00";1,411;40,71998;1,026844;0;6,09998771649675;;;;;;;0,007
"1958-01-01 00:00:00";1,386;41,37826;1,53842577777778;0,00104223663982907;7,91942021864636;;;;;;;0,00105
"1959-01-01 00:00:00";1,618;41,2377;3,58843333333333;0,010682925558248;8,00466773123695;;;;;;;0,00175
"1960-01-01 00:00:00";1,977;40,12862;2,61863622222222;0,0338726907944449;9,91131310649797;;;;;;;0,0007
"1961-01-01 00:00:00";2,163;37,87112;3,68964555555556;0,0633158758696162;9,38803586782951;;;;;;;0
"1962-01-01 00:00:00";2,37;37,86174;4,36132666666667;0,110216524661924;8,78982925930475;;;;;;;0,00105
"1963-01-01 00:00:00";2,522;34,4673;4,47266011111111;0,109174288022095;10,653973713303;;;;;;;0,00105
"1964-01-01 00:00:00";2,846;38,06642;4,68336555555556;0,151124312775216;8,5358064119887;;;;;;;0
"1965-01-01 00:00:00";2,998;37,07368;4,64472088888889;0,23372156648167;11,3602751504729;;;;;;;0
"1966-01-01 00:00:00";2,932;36,31348;4,74869344444444;0,363480028140389;12,6574130942145;;;;;;;0
"1967-01-01 00:00:00";2,832;34,5681;5,11857811111111;0,667031449490607;11,0463088072718;;;;;;;0
"1968-01-01 00:00:00";2,688;30,69024;5,22807133333333;0,823106386305011;12,3925807640339;;;;;;;0
"1969-01-01 00:00:00";2,499;29,6471;5,98624288888889;1,1633966492092;13,0023338656185;;;;;;;0
