;"Oil";"Coal";"Gas";"Nuclear";"Hydroelectricity";"Biomass and Waste";"Wind";"Solar, Tide, Wave, Fuel Cell";"Fuel Ethanol";"Geothermal";"Biodiesel";"Peat"
"1900-01-01 00:00:21";0,144;3,4004628;0;;;;;;;;;
"1901-01-01 00:00:21";0,191;3,68766405;0;;;;;;;;;
"1902-01-01 00:00:21";0,216;4,12639815;0;;;;;;;;;
"1903-01-01 00:00:21";0,335;4,1335098;0;;;;;;;;;
"1904-01-01 00:00:21";0,451;4,5667734;0;;;;;;;;;
"1905-01-01 00:00:21";0,551;4,67891865;0;;;;;;;;;
"1906-01-01 00:00:21";0,536;5,437677;0;;;;;;;;;
"1907-01-01 00:00:21";0,579;6,1958883;0;;;;;;;;;
"1908-01-01 00:00:21";0,673;7,09797375;0;;;;;;;;;
"1909-01-01 00:00:21";0,89;6,597423;0;;;;;;;;;
"1910-01-01 00:00:21";0,818;6,695892;0;;;;;;;;;
"1911-01-01 00:00:21";0,86;7,067886;0;;;;;;;;;
"1912-01-01 00:00:00";0,949;8,1740211;0;;;;;;;;;
"1913-01-01 00:00:00";1,057;9,0088194;0;;;;;;;;;
"1914-01-01 00:00:00";0,987;9,1510524;0;;;;;;;;;
"1915-01-01 00:00:00";1,094;9,5066349;0;;;;;;;;;
"1916-01-01 00:00:00";1,132;9,59033355;0;;;;;;;;;
"1917-01-01 00:00:00";1,077;10,12316025;0;;;;;;;;;
"1918-01-01 00:00:00";1,067;11,51813775;0;;;;;;;;;
"1919-01-01 00:00:00";1,164;12,57722655;0;;;;;;;;;
"1920-01-01 00:00:00";1,17;9,9836625;0;;;;;;;;;
"1921-01-01 00:00:00";1,268;10,72929165;0;;;;;;;;;
"1922-01-01 00:00:00";1,238;10,5668178;0;;;;;;;;;
"1923-01-01 00:00:00";1,22;10,9256826;0;;;;;;;;;
"1924-01-01 00:00:00";1,222;11,77087485;0;;;;;;;;;
"1925-01-01 00:00:00";1,201;11,61879495;0;;;;;;;;;
"1926-01-01 00:00:00";1,1;11,6718588;0;;;;;;;;;
"1927-01-01 00:00:00";1,118;12,2736138;0;;;;;;;;;
"1928-01-01 00:00:00";0,172;12,53018025;0;;;;;;;;;
"1929-01-01 00:00:00";0,207;13,01705475;0;;;;;;;;;
