;"Oil";"Coal";"Gas";"Nuclear";"Hydroelectricity";"Biomass and Waste";"Wind";"Solar, Tide, Wave, Fuel Cell";"Fuel Ethanol";"Geothermal";"Biodiesel";"Peat"
"1900-01-01 00:00:21";0;;;;;;;;;;;
"1901-01-01 00:00:21";0;;;;;;;;;;;
"1902-01-01 00:00:21";0;;;;;;;;;;;
"1903-01-01 00:00:21";0;;;;;;;;;;;
"1904-01-01 00:00:21";0;;;;;;;;;;;
"1905-01-01 00:00:21";0;;;;;;;;;;;
"1906-01-01 00:00:21";0;;;;;;;;;;;
"1907-01-01 00:00:21";0;;;;;;;;;;;
"1908-01-01 00:00:21";0;;;;;;;;;;;
"1909-01-01 00:00:21";0;;;;;;;;;;;
"1910-01-01 00:00:21";0;;;;;;;;;;;
"1911-01-01 00:00:21";0;;;;;;;;;;;
"1912-01-01 00:00:00";0;;;;;;;;;;;
"1913-01-01 00:00:00";0;;;;;;;;;;;
"1914-01-01 00:00:00";0;;;;;;;;;;;
"1915-01-01 00:00:00";0;;;;;;;;;;;
"1916-01-01 00:00:00";0;;;;;;;;;;;
"1917-01-01 00:00:00";0;;;;;;;;;;;
"1918-01-01 00:00:00";0;;;;;;;;;;;
"1919-01-01 00:00:00";0;;;;;;;;;;;
"1920-01-01 00:00:00";0;;;;;;;;;;;
"1921-01-01 00:00:00";0;;;;;;;;;;;
"1922-01-01 00:00:00";0;;;;;;;;;;;
"1923-01-01 00:00:00";0;;;;;;;;;;;
"1924-01-01 00:00:00";0;;;;;;;;;;;
"1925-01-01 00:00:00";0;;;;;;;;;;;
"1926-01-01 00:00:00";0;;;;;;;;;;;
"1927-01-01 00:00:00";0;;;;;;;;;;;
"1928-01-01 00:00:00";0;;;;;;;;;;;
"1929-01-01 00:00:00";0;;;;;;;;;;;
"1930-01-01 00:00:00";0;;;;;;;;;;;
"1931-01-01 00:00:00";0;;;;;;;;;;;
"1932-01-01 00:00:00";0;;;;;;;;;;;
"1933-01-01 00:00:00";0;;;;;;;;;;;
"1934-01-01 00:00:00";0;;;;;;;;;;;
"1935-01-01 00:00:00";0;;;;;;;;;;;
"1936-01-01 00:00:00";0;;;;;;;;;;;
"1937-01-01 00:00:00";0;;;;;;;;;;;
"1938-01-01 00:00:00";0;;;;;;;;;;;
"1939-01-01 00:00:00";0;;;;;;;;;;;
"1940-01-01 00:00:00";0;;;;;;;;;;;
"1941-01-01 00:00:00";0;;;;;;;;;;;
"1942-01-01 00:00:00";0;;;;;;;;;;;
"1943-01-01 00:00:00";0;;;;;;;;;;;
"1944-01-01 00:00:00";0;;;;;;;;;;;
"1945-01-01 00:00:00";0;;;;;;;;;;;
"1946-01-01 00:00:00";0;;;;;;;;;;;
"1947-01-01 00:00:00";0;;;;;;;;;;;
"1948-01-01 00:00:00";0;;;;;;;;;;;
"1949-01-01 00:00:00";0;;;;;;;;;;;
"1950-01-01 00:00:00";0;;;;;;;;;;;
"1951-01-01 00:00:00";0;;;;;;;;;;;
"1952-01-01 00:00:00";0;;;;;;;;;;;
"1953-01-01 00:00:00";0;;;;;;;;;;;
"1954-01-01 00:00:00";0;;;;;;;;;;;
"1955-01-01 00:00:00";0;;;;;;;;;;;
"1956-01-01 00:00:00";0;;;;;;;;;;;
"1957-01-01 00:00:00";0;;;;;;;;;;;
"1958-01-01 00:00:00";0;;;;;;;;;;;
"1959-01-01 00:00:00";0;;;;;;;;;;;
"1960-01-01 00:00:00";0;;;;;;;;;;;
"1961-01-01 00:00:00";0;;;;;;;;;;;
"1962-01-01 00:00:00";0;;;;;;;;;;;
"1963-01-01 00:00:00";0;;;;;;;;;;;
"1964-01-01 00:00:00";0;;;;;;;;;;;
"1965-01-01 00:00:00";0;;;;;;;;;;;
"1966-01-01 00:00:00";0;;;;;;;;;;;
"1967-01-01 00:00:00";0;;;;;;;;;;;
"1968-01-01 00:00:00";0;;;;;;;;;;;
"1969-01-01 00:00:00";0;;;;;;;;;;;
"1970-01-01 00:00:00";0;;;;;;;;;;;
"1971-01-01 00:00:00";0;;;;;;;;;;;
"1972-01-01 00:00:00";0;;;;;;;;;;;
"1973-01-01 00:00:00";0;;;;;;;;;;;
"1974-01-01 00:00:00";0;;;;;;;;;;;
"1975-01-01 00:00:00";0;;;;;;;;;;;
"1976-01-01 00:00:00";0;;;;;;;;;;;
"1977-01-01 00:00:00";0;;;;;;;;;;;
"1978-01-01 00:00:00";0;;;;;;;;;;;
"1979-01-01 00:00:00";0;;;;;;;;;;;
"1980-01-01 00:00:00";0,054482684;0;0;0;0,33042625;0;0;0;0;0;;
"1981-01-01 00:00:00";0,380079;0;0;0;0,42402652;0;0;0;0;0;;
"1982-01-01 00:00:00";0,48883873;0;0;0;0,42525488;0;0;0;0;0;;
"1983-01-01 00:00:00";1,2492545;0;0;0;0,26212996;0;0;0;0;0;;
"1984-01-01 00:00:00";1,470534;0;0;0;0,090652257;0;0;0;0;0;;
"1985-01-01 00:00:00";1,5208316;0;0;0;0,33018056;0;0;0;0;0;;
"1986-01-01 00:00:00";1,0863082;0;0;0;0,28964502;0;0;0;0;0;;
"1987-01-01 00:00:00";0,97767746;0;0;0;0,29873481;0;0;0;0;0;;
"1988-01-01 00:00:00";0,65345991;0;0;0;0,30143717;0;0;0;0;0;;
"1989-01-01 00:00:00";0,10861242;0;0;0;0,30708757;0;0;0;0;0;;
"1990-01-01 00:00:00";0,10861242;0;0;0;0,32158211;0;0;0;0;0;;
"1991-01-01 00:00:00";0,10861242;0;0;0;0,30512223;0;0;0;0;0;;
"1992-01-01 00:00:00";0,081682488;0;0;0;0,25500554;0;0;0;0;0;;
"1993-01-01 00:00:00";0,027153116;0;0;0;0,26704335;0;0;0;0;0;;
"1994-01-01 00:00:00";0,36928222;0;0;0;0,28546861;0;0;0;0;0;;
"1995-01-01 00:00:00";0,43571433;0;0,03723437;0;0,43385333;0;0;0;0;0;;
"1996-01-01 00:00:00";0,87127984;0;0,33572727;0;0,43336201;0;0;0;0;0;;
"1997-01-01 00:00:00";1,0191712;0;0,55954546;0;0,45694631;0;0;0;0;0;;
"1998-01-01 00:00:00";1,0861242;0;0,74606055;0;0,33484828;0;0;0;0;0;;
"1999-01-01 00:00:00";0,81459314;0;1,2496514;0;0,42648324;0;0;0;0;0;;
"2000-01-01 00:00:00";0,62608361;0;1,2589772;0;0,42893994;0;0;0;0;0;0;
"2001-01-01 00:00:00";0,5973683;0;1,2589772;0;0,43778405;0;0;0;0;0;0;
"2002-01-01 00:00:00";0,65167451;0;1,1947479;0;0,42058715;0;0;0;0;0;0;
"2003-01-01 00:00:00";1,0318179;0;1,1947479;0;0,44564551;0;0;0;0;0;0;
"2004-01-01 00:00:00";1,4158298;0;1,1590838;0;0,42525488;0,02555651;0;0;0;0;0;
"2005-01-01 00:00:00";2,1179421;0;1,1590838;0;0,34958851;0,026273049;0;0,000024567007;0;0;0;
"2006-01-01 00:00:00";3,3669848;0;1,1590838;0;0,36727676;0,02675074;0;0,000049134014;0;0;0;
"2007-01-01 00:00:00";2,8239229;0;1,3374045;0;0,43704703;0,027467279;0;0,000049134014;0;0;0;
"2008-01-01 00:00:00";3,2218311;0;1,4265647;0;0,46161404;0,028183816;0;0,000049134014;0;0;0;
"2009-01-01 00:00:00";3,1398361;0;1,4265647;0;0,51836383;0,017196905;0;0,00012283503;0;0;0;
"2010-01-01 00:00:00";2,3805435;0;1,4756029;0;0,39356345;0,016480368;0;0,00049134012;0;0;0;
"2011-01-01 00:00:00";2,1500628;0;1,4533128;0;0,43139663;0,015286137;0;0,00049134012;0;0;0;
"2012-01-01 00:00:00";2,0648043;0;1,5870533;0;0,43508169;0,015763829;0;0,00049134012;0;0;0;
"2013-01-01 00:00:00";2,0094531;0;1,8224365;0;0,3906154;0,016241521;0;0,00049134012;0;0;0;
"2014-01-01 00:00:00";1,9551436;0;1,8375937;0;0,4652991;0,016719213;0;0,00073701021;0;0;0;
"2015-01-01 00:00:00";1,5749768;0;1,8393769;0;0,32870653;0,02507882;0;0,00098268024;0;0;0;
"2016-01-01 00:00:00";2,6684585;0;2,0596011;0;0,37194449;0,041320339;0;0,0012283503;0;0;0;
