Year,France,Ivory Coast,United States of America,Germany,Denmark,India,China,,,,,,,
1850-01-01 00:00:21,42,85,0,23,214,29,48,2,3,77,61,25,40,19
1851-01-01 00:00:21,43,43,0,23,225,36,50,3,3,77,67,94,42,73
1852-01-01 00:00:21,45,1,0,24,231,17,52,68,3,81,74,37,45,29
1853-01-01 00:00:21,49,5,0,24,239,7,54,56,3,86,81,4,47,8
1854-01-01 00:00:21,53,18,0,25,247,75,58,66,3,99,87,48,50,11
1855-01-01 00:00:21,57,25,0,26,259,7,63,36,4,3,93,63,52,67
1856-01-01 00:00:21,59,18,0,26,265,85,66,26,4,26,99,77,55,
1857-01-01 00:00:21,60,14,0,27,270,8,68,87,4,3,105,81,57,32
1858-01-01 00:00:21,59,76,0,27,273,54,72,14,4,15,111,57,59,61
1859-01-01 00:00:21,60,57,0,28,283,56,70,88,4,34,117,64,61,71
1860-01-01 00:00:21,64,16,0,28,290,3,74,27,4,28,122,97,64,
1861-01-01 00:00:21,67,72,0,3,289,37,79,91,4,57,128,41,66,8
1862-01-01 00:00:21,70,47,0,31,295,63,84,89,4,49,133,77,68,14
1863-01-01 00:00:21,71,56,0,31,313,32,89,62,4,64,138,86,70,19
1864-01-01 00:00:21,74,77,0,32,324,26,97,78,4,56,144,13,72,1
1865-01-01 00:00:21,77,78,0,32,328,105,58,5,148,9,74,8,,
1866-01-01 00:00:21,82,57,0,33,331,99,106,1,4,96,153,81,75,9
1867-01-01 00:00:21,83,89,0,33,363,48,113,26,5,158,72,77,72,
1868-01-01 00:00:21,85,84,0,33,386,3,119,52,5,23,163,36,79,54
1869-01-01 00:00:21,87,83,0,34,413,39,123,87,5,12,167,78,81,37
1870-01-01 00:00:21,82,11,0,34,427,39,123,94,5,39,172,24,82,94
1871-01-01 00:00:21,82,52,0,34,441,12,133,96,5,51,176,78,84,8
1872-01-01 00:00:21,94,8,0,35,493,83,142,8,5,52,181,27,86,55
1873-01-01 00:00:21,99,89,0,35,527,43,149,72,5,64,185,89,88,36
1874-01-01 00:00:21,97,67,0,38,523,61,124,5,5,84,190,33,90,22
1875-01-01 00:00:21,101,22,0,39,534,46,155,83,6,22,194,58,91,88
1876-01-01 00:00:21,102,31,0,41,537,1,158,89,6,41,198,83,93,51
1877-01-01 00:00:21,101,86,0,42,573,81,158,68,6,5,203,3,95,42
1878-01-01 00:00:21,104,19,0,42,574,55,162,91,6,54,206,88,97,6
1879-01-01 00:00:21,107,4,0,44,645,42,171,73,6,81,210,24,98,41
1880-01-01 00:00:21,117,3,0,44,699,46,186,73,7,15,213,73,99,91
1881-01-01 00:00:21,119,81,0,44,728,46,198,31,7,36,216,61,101,9
1882-01-01 00:00:21,125,5,0,46,786,16,209,12,7,61,219,91,102,59
1883-01-01 00:00:21,129,97,0,46,828,84,219,93,8,3,223,5,103,53
1884-01-01 00:00:21,127,45,0,47,862,21,225,58,8,1,225,98,104,77
1885-01-01 00:00:21,125,17,0,48,876,86,230,96,8,32,228,9,105,98
1886-01-01 00:00:21,125,38,0,49,913,2,234,54,8,28,230,78,106,92
1887-01-01 00:00:21,130,57,0,49,960,1,243,27,8,42,233,21,107,88
1888-01-01 00:00:21,134,91,0,5,1101,12,261,3,8,85,235,7,108,85
1889-01-01 00:00:21,138,1,0,5,1028,69,275,26,9,15,238,2,109,8
1890-01-01 00:00:21,144,34,0,51,1132,43,282,55,8,27,240,93,112,16
1891-01-01 00:00:21,148,16,0,51,1163,9,298,88,9,15,242,54,112,65
1892-01-01 00:00:21,151,98,0,53,1193,16,297,99,9,82,244,29,113,42
1893-01-01 00:00:21,153,5,0,53,1203,29,306,96,10,21,245,6,114,24
1894-01-01 00:00:21,162,17,0,53,1181,16,319,65,11,14,246,76,115,3
1895-01-01 00:00:21,165,94,0,53,1245,38,332,5,11,71,249,27,115,83
1896-01-01 00:00:21,171,7,0,54,1254,86,352,42,12,95,250,96,116,68
1897-01-01 00:00:21,178,8,0,55,1283,83,372,27,13,56,252,48,117,48
1898-01-01 00:00:21,184,74,0,55,1340,41,386,77,14,254,49,118,58,
1899-01-01 00:00:21,191,28,0,57,1432,76,405,99,14,63,256,5,119,43
1900-01-01 00:00:21,201,56,0,57,1482,7,430,94,14,6,258,66,120,26
1901-01-01 00:00:21,197,13,0,58,1553,93,431,49,14,8,260,61,121,38
1902-01-01 00:00:21,190,63,0,58,1613,12,426,75,14,86,262,4,122,39
1903-01-01 00:00:21,203,4,0,59,1762,5,451,82,14,9,263,2,125,55
1904-01-01 00:00:21,199,4,0,62,1764,67,465,8,15,21,265,55,127,3
1905-01-01 00:00:21,201,5,0,64,1894,3,491,86,14,79,266,27,128,65
1906-01-01 00:00:21,209,91,0,65,1961,32,472,54,15,16,269,17,144,61
1907-01-01 00:00:21,218,76,0,66,2149,551,48,14,17,272,4,145,71,
1908-01-01 00:00:21,219,83,0,67,2012,67,557,3,15,53,275,52,153,18
1909-01-01 00:00:21,222,93,0,69,2148,64,556,61,16,23,275,7,152,97
1910-01-01 00:00:21,223,7,0,72,2273,87,557,26,15,51,275,25,152,21
1911-01-01 00:00:21,230,28,0,72,2276,54,570,43,16,4,277,46,162,72
1912-01-01 00:00:00,231,45,0,75,2382,93,609,5,17,63,282,66,146,7
1913-01-01 00:00:00,243,74,0,76,2501,4,645,34,17,91,287,56,149,27
1914-01-01 00:00:00,191,97,0,79,2395,98,607,8,18,25,289,6,155,27
1915-01-01 00:00:00,176,8,0,81,2463,63,573,6,19,1,293,23,158,9
1916-01-01 00:00:00,183,79,0,84,2638,86,609,78,18,86,295,73,161,97
1917-01-01 00:00:00,194,83,0,84,2801,25,632,49,15,93,299,11,165,73
1918-01-01 00:00:00,181,95,0,86,2899,57,611,4,17,35,305,47,168,99
1919-01-01 00:00:00,190,25,0,9,2635,16,498,31,16,95,310,53,174,23
1920-01-01 00:00:00,226,5,0,92,2901,52,539,89,15,91,302,93,179,9
1921-01-01 00:00:00,212,73,0,92,2589,61,584,5,15,57,305,74,180,52
1922-01-01 00:00:00,239,7,0,95,2594,84,568,21,18,76,304,4,185,99
1923-01-01 00:00:00,261,75,0,97,3071,34,449,6,19,8,304,4,196,57
1924-01-01 00:00:00,285,87,1,2862,5,570,1,21,97,304,87,205,21,
1925-01-01 00:00:00,294,93,1,3,2901,6,579,19,20,31,302,29,209,39
