lat;lon;crs;tas_anom
-89.5;-179.5;b'';2.0884922
-89.5;-178.5;b'';2.084025
-89.5;-177.5;b'';2.0812283
-89.5;-176.5;b'';2.0842025
-89.5;-175.5;b'';2.0846608
-89.5;-174.5;b'';2.0842276
-89.5;-173.5;b'';2.0846696
-89.5;-172.5;b'';2.0840359
-89.5;-171.5;b'';2.0827427
-89.5;-170.5;b'';2.080843
-89.5;-169.5;b'';2.0800867
-89.5;-168.5;b'';2.0801437
-89.5;-167.5;b'';2.0784068
-89.5;-166.5;b'';2.0823631
-89.5;-165.5;b'';2.082182
-89.5;-164.5;b'';2.081695
-89.5;-163.5;b'';2.0830438
-89.5;-162.5;b'';2.0833504
-89.5;-161.5;b'';2.0857716
-89.5;-160.5;b'';2.0855
-89.5;-159.5;b'';2.0868626
-89.5;-158.5;b'';2.086647
-89.5;-157.5;b'';2.0844977
-89.5;-156.5;b'';2.0819051
-89.5;-155.5;b'';2.0833678
-89.5;-154.5;b'';2.0813024
-89.5;-153.5;b'';2.0787928
-89.5;-152.5;b'';2.0811727
-89.5;-151.5;b'';2.0801828
-89.5;-150.5;b'';2.080194
-89.5;-149.5;b'';2.0800695
-89.5;-148.5;b'';2.0798354
-89.5;-147.5;b'';2.0778844
-89.5;-146.5;b'';2.0768878
-89.5;-145.5;b'';2.0775793
-89.5;-144.5;b'';2.0772352
-89.5;-143.5;b'';2.076208
-89.5;-142.5;b'';2.0796175
-89.5;-141.5;b'';2.0803201
-89.5;-140.5;b'';2.0784457
-89.5;-139.5;b'';2.0792098
-89.5;-138.5;b'';2.0827847
-89.5;-137.5;b'';2.0829496
-89.5;-136.5;b'';2.0829453
-89.5;-135.5;b'';2.084205
-89.5;-134.5;b'';2.084255
-89.5;-133.5;b'';2.0833378
-89.5;-132.5;b'';2.0879385
-89.5;-131.5;b'';2.086134
-89.5;-130.5;b'';2.0817592
-89.5;-129.5;b'';2.0797708
-89.5;-128.5;b'';2.0833735
-89.5;-127.5;b'';2.0866466
-89.5;-126.5;b'';2.0856314
-89.5;-125.5;b'';2.0839565
-89.5;-124.5;b'';2.0836086
-89.5;-123.5;b'';2.0823812
-89.5;-122.5;b'';2.088173
-89.5;-121.5;b'';2.087287
-89.5;-120.5;b'';2.0879133
-89.5;-119.5;b'';2.0870383
-89.5;-118.5;b'';2.0864599
-89.5;-117.5;b'';2.085993
-89.5;-116.5;b'';2.086566
-89.5;-115.5;b'';2.0840545
-89.5;-114.5;b'';2.08216
-89.5;-113.5;b'';2.081808
-89.5;-112.5;b'';2.0833426
-89.5;-111.5;b'';2.0836992
-89.5;-110.5;b'';2.0814686
-89.5;-109.5;b'';2.0814214
-89.5;-108.5;b'';2.0815673
-89.5;-107.5;b'';2.0796518
-89.5;-106.5;b'';2.081864
-89.5;-105.5;b'';2.0793498
-89.5;-104.5;b'';2.0805109
-89.5;-103.5;b'';2.0830495
-89.5;-102.5;b'';2.0772846
-89.5;-101.5;b'';2.081323
-89.5;-100.5;b'';2.0843375
-89.5;-99.5;b'';2.0833333
-89.5;-98.5;b'';2.0816767
-89.5;-97.5;b'';2.0813456
-89.5;-96.5;b'';2.091595
-89.5;-95.5;b'';2.087435
-89.5;-94.5;b'';2.084119
-89.5;-93.5;b'';2.0847445
-89.5;-92.5;b'';2.0842571
-89.5;-91.5;b'';2.089644
-89.5;-90.5;b'';2.0858593
-89.5;-89.5;b'';2.0841644
-89.5;-88.5;b'';2.0844314
-89.5;-87.5;b'';2.0819118
-89.5;-86.5;b'';2.0777068
-89.5;-85.5;b'';2.0813298
-89.5;-84.5;b'';2.0838385
-89.5;-83.5;b'';2.0839028
-89.5;-82.5;b'';2.0840392
-89.5;-81.5;b'';2.0825682
-89.5;-80.5;b'';2.0821848
-89.5;-79.5;b'';2.0823538
-89.5;-78.5;b'';2.0781195
-89.5;-77.5;b'';2.0805645
-89.5;-76.5;b'';2.0783095
-89.5;-75.5;b'';2.0799727
-89.5;-74.5;b'';2.0808291
-89.5;-73.5;b'';2.08095
-89.5;-72.5;b'';2.0812268
-89.5;-71.5;b'';2.0794668
-89.5;-70.5;b'';2.0817351
-89.5;-69.5;b'';2.0825384
-89.5;-68.5;b'';2.0828617
-89.5;-67.5;b'';2.0831306
-89.5;-66.5;b'';2.0834925
-89.5;-65.5;b'';2.0833454
-89.5;-64.5;b'';2.0835257
-89.5;-63.5;b'';2.0823033
-89.5;-62.5;b'';2.0733523
-89.5;-61.5;b'';2.074387
-89.5;-60.5;b'';2.0766072
-89.5;-59.5;b'';2.0787284
-89.5;-58.5;b'';2.079382
-89.5;-57.5;b'';2.0777354
-89.5;-56.5;b'';2.0778022
-89.5;-55.5;b'';2.0778131
-89.5;-54.5;b'';2.0771017
-89.5;-53.5;b'';2.0748475
-89.5;-52.5;b'';2.0760336
-89.5;-51.5;b'';2.076867
-89.5;-50.5;b'';2.0770583
-89.5;-49.5;b'';2.0762558
-89.5;-48.5;b'';2.076884
-89.5;-47.5;b'';2.0776336
-89.5;-46.5;b'';2.0772355
-89.5;-45.5;b'';2.0776665
-89.5;-44.5;b'';2.0757146
-89.5;-43.5;b'';2.0700974
-89.5;-42.5;b'';2.0693848
-89.5;-41.5;b'';2.074057
-89.5;-40.5;b'';2.070177
-89.5;-39.5;b'';2.0699675
-89.5;-38.5;b'';2.0744915
-89.5;-37.5;b'';2.0757604
-89.5;-36.5;b'';2.0709987
-89.5;-35.5;b'';2.0690293
-89.5;-34.5;b'';2.068533
-89.5;-33.5;b'';2.0700674
-89.5;-32.5;b'';2.0762079
-89.5;-31.5;b'';2.0767262
-89.5;-30.5;b'';2.0753922
-89.5;-29.5;b'';2.0743642
-89.5;-28.5;b'';2.0749726
-89.5;-27.5;b'';2.0698247
-89.5;-26.5;b'';2.068694
-89.5;-25.5;b'';2.0691333
-89.5;-24.5;b'';2.0686052
-89.5;-23.5;b'';2.0675292
-89.5;-22.5;b'';2.0681775
-89.5;-21.5;b'';2.0684764
-89.5;-20.5;b'';2.0700743
-89.5;-19.5;b'';2.0692677
-89.5;-18.5;b'';2.0680668
-89.5;-17.5;b'';2.0678082
-89.5;-16.5;b'';2.0691051
-89.5;-15.5;b'';2.0732267
-89.5;-14.5;b'';2.0739715
-89.5;-13.5;b'';2.070913
-89.5;-12.5;b'';2.0784204
-89.5;-11.5;b'';2.0693874
-89.5;-10.5;b'';2.0680814
-89.5;-9.5;b'';2.0671015
-89.5;-8.5;b'';2.0645065
-89.5;-7.5;b'';2.0651903
-89.5;-6.5;b'';2.0666275
-89.5;-5.5;b'';2.0664477
-89.5;-4.5;b'';2.0661159
-89.5;-3.5;b'';2.0650463
-89.5;-2.5;b'';2.0622818
-89.5;-1.5;b'';2.0678213
-89.5;-0.5;b'';2.0705566
-89.5;0.5;b'';2.070549
-89.5;1.5;b'';2.0713878
-89.5;2.5;b'';2.0767374
-89.5;3.5;b'';2.0731435
-89.5;4.5;b'';2.0692973
-89.5;5.5;b'';2.0669315
-89.5;6.5;b'';2.066383
-89.5;7.5;b'';2.0697963
-89.5;8.5;b'';2.0783453
-89.5;9.5;b'';2.0728645
-89.5;10.5;b'';2.068554
-89.5;11.5;b'';2.0683086
-89.5;12.5;b'';2.0695405
-89.5;13.5;b'';2.072237
-89.5;14.5;b'';2.0729482
-89.5;15.5;b'';2.0737085
-89.5;16.5;b'';2.0754557
-89.5;17.5;b'';2.0769827
-89.5;18.5;b'';2.0754921
-89.5;19.5;b'';2.073968
-89.5;20.5;b'';2.0723724
-89.5;21.5;b'';2.070264
-89.5;22.5;b'';2.0691776
-89.5;23.5;b'';2.0659733
-89.5;24.5;b'';2.0694273
-89.5;25.5;b'';2.0696802
-89.5;26.5;b'';2.0675027
-89.5;27.5;b'';2.0725536
-89.5;28.5;b'';2.0781012
-89.5;29.5;b'';2.0738413
-89.5;30.5;b'';2.0739727
-89.5;31.5;b'';2.0811265
-89.5;32.5;b'';2.0830784
-89.5;33.5;b'';2.0738087
-89.5;34.5;b'';2.0744684
-89.5;35.5;b'';2.076531
-89.5;36.5;b'';2.0786083
-89.5;37.5;b'';2.080956
-89.5;38.5;b'';2.080833
-89.5;39.5;b'';2.0796115
-89.5;40.5;b'';2.0806143
-89.5;41.5;b'';2.08333
-89.5;42.5;b'';2.0782928
-89.5;43.5;b'';2.0826874
-89.5;44.5;b'';2.0842307
-89.5;45.5;b'';2.0838518
-89.5;46.5;b'';2.0854626
-89.5;47.5;b'';2.0895803
-89.5;48.5;b'';2.0863485
-89.5;49.5;b'';2.087489
-89.5;50.5;b'';2.0881124
-89.5;51.5;b'';2.0886028
-89.5;52.5;b'';2.0902874
-89.5;53.5;b'';2.0904117
-89.5;54.5;b'';2.0915034
